Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.369995102204,11914.30176,0.207377090904,15670.80078,0.264313623204,11688.25098,0.123069994004,20257.47266,0,11909.63281,-0.144457563896,19008.22852,-0.170990392696,11689.63281,-0.281114086596,17274.60742,0.806277856104,135142.1719,0.702722951604,1361.59021,0.702720984704,1361.564819,0.672286972304,132574.7031,0.618415877104,1760.112915,-2.446977451496,1362.001465,0.651654824504,3119.860352,0.546836003504,131606.7813,-2.491334512496,3119.674561,0.458838060404,2161.081543,0.561958596004,475.1896667,0.561958596004,475.1897278,0.335355803304,130794.1094,-2.679870918496,471.8101501,-2.679870918496,471.8102112,0.461727037904,471.7902527,0.461727037904,471.7903137,0.128253638604,132990.625,-2.780537918496,463.16745,-2.780537918496,463.167511,-2.860665395496,3145.273926,0.081417970244,4014.415039,0.254018500304,133144.4219,0.282318159804,3145.677246,0.214231774104,1500.940186,-2.797400310496,1651.400024,0.417238816504,135112.1875,0.350887283604,1651.544067,0.350888296804,1651.56958,0.546836003504,131606.7813,3.60043071399379,2161.081543,0.128253638604,132990.625,3.22301062383379,4014.415039
0.0333,0.369995211641,11914.30273,0.207377170541,15670.80078,0.264313673041,11688.25,0.123070066241,20257.47266,0,11909.63379,-0.144457484259,19008.22852,-0.170990298159,11689.63184,-0.281114006959,17274.60742,0.806277935741,135142.1719,0.702723031241,1361.59021,0.702721064341,1361.564819,0.672287051941,132574.7188,0.618415956741,1760.112915,-2.446977371859,1362.001465,0.651654844541,3119.860352,0.546836083141,131606.7813,-2.491334671859,3119.674561,0.458838140041,2161.081543,0.561958675641,475.1896667,0.561958675641,475.1897583,0.335355882841,130794.1094,-2.679870838859,471.8101501,-2.679870838859,471.8102112,0.461727117541,471.7902527,0.461727117541,471.7903137,0.128253703341,132990.625,-2.780537838859,463.16745,-2.780537838859,463.167511,-2.860665315859,3145.273926,0.081418042421,4014.415039,0.254018579941,133144.4063,0.282318239441,3145.67749,0.214231853741,1500.940186,-2.797400230859,1651.400024,0.417238866341,135112.1875,0.350887333441,1651.544067,0.350888376441,1651.56958,0.546836083141,131606.7813,3.60043079363079,2161.081543,0.128253703341,132990.625,3.22301069601079,4014.415039
0.0666,0.369995036583,11914.29883,0.207377055183,15670.7959,0.264313617283,11688.24707,0.123069965783,20257.4668,0,11909.62891,-0.144457599617,19008.22266,-0.170990443317,11689.62891,-0.281114122317,17274.60156,0.806277820383,135142.125,0.702722915883,1361.589844,0.702720948983,1361.564331,0.672286936583,132574.6719,0.618415841383,1760.112305,-2.446977487217,1362.001099,0.651654788783,3119.859619,0.546835967783,131606.75,-2.491334548217,3119.673584,0.458838054483,2161.080811,0.561958560283,475.1895142,0.561958560283,475.1896057,0.335355767483,130794.0703,-2.679870954217,471.8099976,-2.679870954217,471.8100586,0.461727002183,471.7901001,0.461727002183,471.7901611,0.128253602883,132990.5938,-2.780537954217,463.1673279,-2.780537954217,463.1673889,-2.860665431217,3145.272949,0.081417941953,4014.413818,0.254018464583,133144.375,0.282318124083,3145.676514,0.214231753283,1500.939819,-2.797400346217,1651.399536,0.417238780783,135112.1563,0.350887247783,1651.543579,0.350888261083,1651.569092,0.546835967783,131606.75,3.60043070807279,2161.080811,0.128253602883,132990.5938,3.22301059554279,4014.413818
0.0999,0.369995093167,11914.30859,0.207377081967,15670.80762,0.264313554667,11688.25586,0.123069977667,20257.48242,0,11909.63867,-0.144457587733,19008.23633,-0.170990416533,11689.6377,-0.281114095633,17274.61523,0.806277787567,135142.2344,0.702722942667,1361.59082,0.702720975767,1361.56543,0.672286963367,132574.7813,0.618415868167,1760.113647,-2.446977460433,1362.002075,0.651654755967,3119.861816,0.546835994567,131606.8438,-2.491334760433,3119.676025,0.458838051467,2161.08252,0.561958587067,475.1898804,0.561958587067,475.1899719,0.335355824067,130794.1719,-2.679870927433,471.8103638,-2.679870927433,471.8104248,0.461727028967,471.7904663,0.461727028967,471.7905273,0.128253629667,132990.6875,-2.780537927433,463.1676636,-2.780537927433,463.1677246,-2.860665405433,3145.275391,0.081417953827,4014.416992,0.254018491367,133144.4688,0.282318150867,3145.678711,0.214231765167,1500.940918,-2.797400319433,1651.400879,0.417238777767,135112.25,0.350887244767,1651.544922,0.350888287867,1651.570435,0.546835994567,131606.8438,3.60043070505679,2161.08252,0.128253629667,132990.6875,3.22301060741679,4014.416992
0.1332,0.369995133456,11914.29688,0.207377122256,15670.79297,0.264313594856,11688.24512,0.123070017856,20257.46484,0,11909.62891,-0.144457532544,19008.2207,-0.170990346444,11689.62695,-0.281114055344,17274.59766,0.806277827856,135142.1094,0.702722982956,1361.5896,0.702721016056,1361.564209,0.672287003556,132574.6563,0.618415908456,1760.112061,-2.446977420144,1362.000854,0.651654855856,3119.858887,0.546836034856,131606.7188,-2.491334481144,3119.673096,0.458838091656,2161.080566,0.561958686956,475.1894531,0.561958686956,475.1895142,0.335355834556,130794.0469,-2.679870887144,471.809906,-2.679870887144,471.8099976,0.461727069256,471.7900391,0.461727099056,471.7901001,0.128253669956,132990.5625,-2.780537887144,463.1672363,-2.780537887144,463.1673279,-2.860665365144,3145.272461,0.081417994106,4014.41333,0.254018531656,133144.3594,0.282318191156,3145.676025,0.214231805456,1500.939575,-2.797400279144,1651.399292,0.417238847856,135112.1406,0.350887285056,1651.543335,0.350888328156,1651.568848,0.546836034856,131606.7188,3.60043074524579,2161.080566,0.128253669956,132990.5625,3.22301064769579,4014.41333
0.1665,0.369995139982,11914.31152,0.207377098982,15670.8125,0.264313601382,11688.25879,0.123069994582,20257.48828,0,11909.6416,-0.144457555818,19008.24219,-0.170990399518,11689.64063,-0.281114078618,17274.61914,0.806277864182,135142.2813,0.702722959682,1361.591187,0.702720992782,1361.565796,0.672286980282,132574.8125,0.618415885182,1760.114136,-2.446977443418,1362.002563,0.651654772882,3119.862793,0.546836011582,131606.8906,-2.491334504418,3119.676758,0.458838098182,2161.083252,0.561958603982,475.190033,0.561958603982,475.190094,0.335355841082,130794.2031,-2.679870910418,471.8104858,-2.679870910418,471.8105469,0.461727045982,471.7905884,0.461727045982,471.7906494,0.128253646682,132990.7344,-2.780537910418,463.1677856,-2.780537910418,463.1678467,-2.860665388418,3145.276367,0.081417978272,4014.417969,0.254018508382,133144.5156,0.282318167882,3145.679688,0.214231782082,1500.941284,-2.797400302418,1651.401245,0.417238794782,135112.2969,0.350887291582,1651.545288,0.350888304882,1651.570801,0.546836011582,131606.8906,3.60043075177179,2161.083252,0.128253646682,132990.7344,3.22301063186179,4014.417969
0.1998,0.369995153497,11914.29688,0.207377142297,15670.79297,0.264313644697,11688.24512,0.123070037897,20257.46484,0,11909.62793,-0.144457512503,19008.2207,-0.170990326403,11689.62695,-0.281114035303,17274.59766,0.806277907497,135142.1094,0.702723002997,1361.5896,0.702721035997,1361.564209,0.672287023597,132574.6563,0.618415928397,1760.112061,-2.446977400103,1362.000854,0.651654816197,3119.858887,0.546836054897,131606.7188,-2.491334462103,3119.673096,0.458838111697,2161.080566,0.561958647297,475.1894531,0.561958647297,475.1895142,0.335355884397,130794.0469,-2.679870867103,471.8099365,-2.679870867103,471.8099976,0.461727089297,471.7900391,0.461727089297,471.7901001,0.128253689997,132990.5781,-2.780537867103,463.1672363,-2.780537867103,463.1672974,-2.860665345103,3145.272461,0.081418021577,4014.41333,0.254018551697,133144.3594,0.282318211197,3145.676025,0.214231825397,1500.939575,-2.797400259103,1651.399292,0.417238837997,135112.125,0.350887305097,1651.543335,0.350888348197,1651.568848,0.546836054897,131606.7188,3.60043076528679,2161.080566,0.128253689997,132990.5781,3.22301067516679,4014.41333
0.2331,0.369995144657,11914.30859,0.207377103657,15670.80762,0.264313576257,11688.25586,0.123070014157,20257.48242,0,11909.63867,-0.144457551143,19008.23633,-0.170990379943,11689.6377,-0.281114073943,17274.61523,0.806277868757,135142.2344,0.702722964357,1361.59082,0.702720997357,1361.56543,0.672286984957,132574.7813,0.618415889757,1760.113647,-2.446977438743,1362.002197,0.651654777557,3119.861816,0.546836016257,131606.8438,-2.491334500743,3119.676025,0.458838102857,2161.08252,0.561958608657,475.1898804,0.561958608657,475.1899719,0.335355815957,130794.1719,-2.679870905743,471.8103638,-2.679870905743,471.8104248,0.461727050557,471.7904663,0.461727050557,471.7905273,0.128253651357,132990.6875,-2.780537905743,463.1676636,-2.780537905743,463.1677551,-2.860665383743,3145.275391,0.081417982937,4014.416992,0.254018513057,133144.4688,0.282318172557,3145.678955,0.214231801657,1500.940918,-2.797400297743,1651.400879,0.417238799357,135112.25,0.350887266457,1651.544922,0.350888309557,1651.570313,0.546836016257,131606.8438,3.60043075644679,2161.08252,0.128253651357,132990.6875,3.22301063652679,4014.416992
0.2664,0.36999514094,11914.2998,0.20737709994,15670.7959,0.26431357254,11688.24707,0.12306999554,20257.4668,0,11909.62891,-0.14445756986,19008.22266,-0.17099038376,11689.62891,-0.28111407766,17274.60156,0.80627786504,135142.125,0.70272296064,1361.589844,0.70272099364,1361.564331,0.67228698124,132574.6719,0.61841588604,1760.112305,-2.44697744246,1362.001099,0.65165477384,3119.859375,0.54683601254,131606.75,-2.49133474246,3119.673584,0.45883806934,2161.080811,0.56195860494,475.1895447,0.56195860494,475.1896057,0.33535584204,130794.0703,-2.67987090946,471.8099976,-2.67987090946,471.8100586,0.46172704684,471.7901001,0.46172704684,471.7901611,0.12825364764,132990.5938,-2.78053790946,463.1673279,-2.78053790946,463.1673889,-2.86066538746,3145.272949,0.08141797921,4014.413818,0.25401850934,133144.375,0.28231816874,3145.676514,0.21423178304,1500.939819,-2.79740030146,1651.399536,0.41723882544,135112.1563,0.35088726274,1651.543579,0.35088830584,1651.569092,0.54683601254,131606.75,3.60043072292979,2161.080811,0.12825364764,132990.5938,3.22301063279979,4014.413818
0.2997,0.369995110218,11914.30371,0.207377098918,15670.80078,0.264313631218,11688.25098,0.123069994618,20257.47266,0,11909.63281,-0.144457555882,19008.22852,-0.170990369782,11689.63184,-0.281114078582,17274.60547,0.806277864118,135142.1719,0.702722959718,1361.59021,0.702721052318,1361.564819,0.672286980318,132574.7188,0.618415885118,1760.112915,-2.446977443382,1362.001465,0.651654832518,3119.860352,0.546836011618,131606.7813,-2.491334505382,3119.674561,0.458838098218,2161.081543,0.561958604018,475.1896667,0.561958604018,475.1897278,0.335355841118,130794.1094,-2.679870910382,471.8101196,-2.679870910382,471.8102112,0.461727045918,471.7902527,0.461727045918,471.7903137,0.128253646618,132990.625,-2.780537910382,463.16745,-2.780537910382,463.167511,-2.860665388382,3145.273926,0.081417970828,4014.415039,0.254018508318,133144.4219,0.282318167818,3145.677246,0.214231782118,1500.940186,-2.797400302382,1651.400024,0.417238824518,135112.1875,0.350887261818,1651.544189,0.350888304918,1651.56958,0.546836011618,131606.7813,3.60043075180779,2161.081543,0.128253646618,132990.625,3.22301062441779,4014.415039
