Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.813853085,11894.39258,0.5288666971,20793.33398,0.6402114481,11652.41895,0.2278554738,22324.54492,0,11895.55566,-0.2581990659,21173.67383,-0.1808461845,11655.82031,-0.5384329255,21788.29297,1.2229969203,132636.9063,1.0242215097,1806.673096,1.0242187679,1806.648438,1.0422783196,127544.4063,0.7232102752,1939.715698,-2.1232648785,1807.839722,0.8655373156,3706.857422,0.8883463144,123617.5547,-2.2771669325,3707.27124,0.7852785289,2621.223633,0.8884141445,0.001236181241,0.6335196644,1135.566895,0.3310520202,117065.1953,0.3311102241,0.001170615666,-2.5452061595,1135.647949,0.5963855237,567.8259888,0.5963855237,567.8261108,0.0692127943,125566.4063,-2.6183443965,552.1728516,-2.6183443965,552.1729126,3.2326370775,3698.799072,0.0126681924,4697.90918,0.2222467214,128587.3672,0.0921758711,3698.574951,-0.0430780947,1893.122314,3.3729118405,1840.554932,0.40640648082,133020.125,0.2371534407,1839.694946,0.2371557504,1839.719727,0.8883463144,123617.5547,3.92687118248979,2621.223633,0.0692127943,125566.4063,3.15426084598979,4697.90918
0.0333,0.8138525486,11894.3877,0.5288662091,20793.32227,0.6402108669,11652.41602,0.2278551161,22324.5332,0,11895.55176,-0.2581989765,21173.66992,-0.1808462143,11655.81641,-0.5384328368,21788.28906,1.2229962945,132636.875,1.0242210031,1806.672241,1.0242182613,1806.647583,1.042277813,127544.3672,0.7232099176,1939.714722,-2.1232653858,1807.838745,0.8655368984,3706.855713,0.8883457482,123617.5234,-2.2771672008,3707.269287,0.7852779925,2621.222656,0.8883981407,0.001236211276,0.6335193515,1135.565918,0.3310517967,117065.1797,0.3310810924,0.001170645352,-2.5452064278,1135.647095,0.596385181,567.8255615,0.596385181,567.8256226,0.0692127347,125566.375,-2.6183449028,552.1723633,-2.6183449028,552.1724854,3.2326372862,3698.798584,0.0126681328,4697.907715,0.2222466767,128587.3281,0.0921759606,3698.574219,-0.0430780052999999,1893.121948,3.3729120492,1840.554688,0.40640649201,133020.0781,0.2371535152,1839.694702,0.2371558249,1839.719482,0.8883457482,123617.5234,3.92687064608979,2621.222656,0.0692127347,125566.375,3.15426078638979,4697.907715
0.0666,0.8138519228,11894.39648,0.52886570247,20793.33594,0.6402103007,11652.42578,0.2278547436,22324.54688,0,11895.56152,-0.2581989169,21173.68945,-0.1808462739,11655.8252,-0.5384327173,21788.30859,1.2229956985,132636.9688,1.0242205262,1806.673218,1.0242177844,1806.648682,1.0422772169,127544.4766,0.7232095599,1939.71582,-2.1232658623,1807.839844,0.8655364812,3706.85791,0.8883452118,123617.6328,-2.2771676783,3707.271484,0.7852774561,2621.224365,0.8884084821,0.001236180193,0.6335190386,1135.566284,0.3310515732,117065.2813,0.3311059922,0.001170685515,-2.5452069043,1135.647461,0.5963848308,567.8257446,0.5963848308,567.8258057,0.0692126453,125566.4766,-2.6183453803,552.1725464,-2.6183453803,552.1726074,3.2326372867,3698.802002,0.0126680434,4697.911133,0.2222466171,128587.4297,0.0921760202,3698.577637,-0.0430778861,1893.123535,3.3729120497,1840.556396,0.40640647712,133020.1719,0.2371535748,1839.696411,0.2371558696,1839.721191,0.8883452118,123617.6328,3.92687010968979,2621.224365,0.0692126453,125566.4766,3.15426069698979,4697.911133
0.0999,0.8138512075,11894.3877,0.52886519957,20793.3125,0.6402097196,11652.41504,0.227854386,22324.52148,0,11895.5498,-0.2581989169,21173.67383,-0.1808462739,11655.81543,-0.5384325978,21788.29102,1.2229951024,132636.8594,1.0242199898,1806.671265,1.024217248,1806.646729,1.0422766209,127544.3594,0.7232091874,1939.713623,-2.1232663388,1807.837891,0.8655360341,3706.85376,0.8883446753,123617.5234,-2.2771681548,3707.267578,0.7852769196,2621.22168,0.8884020746,0.001236183336,0.6335187108,1135.564697,0.3310513497,117065.1953,0.3311111927,0.001170643605,-2.5452071428,1135.645874,0.5963844881,567.8249512,0.5963844955,567.8250122,0.0692125857,125566.3672,-2.6183456178,552.171814,-2.6183456178,552.171875,3.2326372862,3698.798828,0.012667954,4697.90625,0.2222465575,128587.3125,0.0921760798,3698.574707,-0.0430778265,1893.12207,3.3729120492,1840.555054,0.40640641007,133020.0625,0.2371536047,1839.694946,0.2371558994,1839.719727,0.8883446753,123617.5234,3.92686957318979,2621.22168,0.0692125857,125566.3672,3.15426060758979,4697.90625
0.1332,0.8138507605,11894.40039,0.52886481959,20793.33398,0.6402092427,11652.42773,0.2278541327,22324.54492,0,11895.56445,-0.2581987679,21173.70117,-0.1808462441,11655.8291,-0.5384324493,21788.31836,1.2229946554,132636.9844,1.0242196024,1806.673096,1.0242168606,1806.64856,1.0422762335,127544.5234,0.723208949,1939.715576,-2.1232669053,1807.839722,0.8655357361,3706.857666,0.8883442581,123617.6797,-2.2771684823,3707.27124,0.7852765024,2621.224854,0.8883472085,0.001236218144,0.6335185171,1135.565552,0.3310512454,117065.3438,0.331109196,0.001170650241,-2.5452074703,1135.646606,0.5963842646,567.8253784,0.5963842646,567.8254395,0.0692125857,125566.5156,-2.6183459463,552.1721802,-2.6183459463,552.1722412,3.2326374357,3698.803711,0.0126679838,4697.912109,0.2222465873,128587.4688,0.0921762586,3698.57959,-0.0430776775,1893.124512,3.3729121987,1840.557495,0.40640646968,133020.2188,0.2371537388,1839.697388,0.2371560336,1839.722168,0.8883442581,123617.6797,3.92686915598979,2621.224854,0.0692125857,125566.5156,3.15426063738979,4697.912109
0.1665,0.8138501943,11894.38574,0.52886433531,20793.30469,0.6402086616,11652.41406,0.2278538049,22324.51367,0,11895.55078,-0.2581987679,21173.67969,-0.1808463037,11655.81445,-0.5384323892,21788.29492,1.2229940594,132636.8438,1.0242191256,1806.670654,1.0242163837,1806.646118,1.0422756374,127544.3672,0.7232086063,1939.713013,-2.1232673232,1807.83728,0.8655352891,3706.852539,0.8883437515,123617.5391,-2.2771689002,3707.266357,0.785275966,2621.221436,0.8883959055,0.001236209879,0.6335182041,1135.563721,0.3310509921,117065.2188,0.3310672492,0.001170594711,-2.5452076492,1135.644775,0.5963839293,567.8244019,0.5963839367,567.8245239,0.0692124963,125566.375,-2.6183463632,552.1712646,-2.6183463632,552.1713867,3.2326374948,3698.799805,0.0126678646,4697.90625,0.2222464979,128587.3125,0.0921762884,3698.575439,-0.0430776178,1893.122437,3.3729122578,1840.555542,0.40640643243,133020.0469,0.2371537388,1839.695435,0.2371560485,1839.720337,0.8883437515,123617.5391,3.92686861958979,2621.221436,0.0692124963,125566.375,3.15426051818979,4697.90625
0.1998,0.8138497472,11894.39746,0.52886395533,20793.32227,0.6402082295,11652.42578,0.2278535366,22324.53125,0,11895.56152,-0.2581987083,21173.70117,-0.1808463037,11655.8252,-0.5384323299,21788.31641,1.2229936421,132636.9688,1.0242187679,1806.671997,1.0242160261,1806.647461,1.0422752202,127544.4922,0.723208353,1939.714478,-2.1232676209,1807.838623,0.8655349911,3706.855469,0.8883433342,123617.6563,-2.2771691979,3707.269043,0.7852755785,2621.223633,0.8884151876,0.001236171694,0.6335179806,1135.564209,0.3310509026,117065.3359,0.331132859,0.001170614036,-2.5452079479,1135.645386,0.5963837132,567.824707,0.5963837132,567.8247681,0.0692124665,125566.4922,-2.6183466609,552.1715698,-2.6183466609,552.1716309,3.2326376741,3698.803711,0.0126678646,4697.910156,0.2222464979,128587.4375,0.0921764076,3698.579346,-0.0430774986,1893.12439,3.3729121981,1840.557495,0.40640642498,133020.1719,0.2371538282,1839.697388,0.237156123,1839.722168,0.8883433342,123617.6563,3.92686823208979,2621.223633,0.0692124665,125566.4922,3.15426051818979,4697.910156
0.2331,0.8138491512,11894.38867,0.52886351574,20793.30273,0.6402078271,11652.41406,0.2278532386,22324.51172,0,11895.55176,-0.2581986785,21173.6875,-0.1808463931,11655.81641,-0.5384321804,21788.30273,1.2229931951,132636.8594,1.0242183209,1806.67041,1.0242155791,1806.645874,1.0422747136,127544.3984,0.7232080549,1939.712646,-2.1232681874,1807.837036,0.8655346334,3706.852051,0.8883428872,123617.5703,-2.2771695254,3707.265625,0.7852751017,2621.22168,0.8883857429,0.00123616925,0.6335177273,1135.562988,0.3310507089,117065.2578,0.331074819,0.001170603558,-2.5452082754,1135.644043,0.5963834227,567.8240356,0.5963834227,567.8241577,0.0692123771,125566.3984,-2.6183469894,552.1709595,-2.6183469894,552.1710205,3.2326375846,3698.80127,0.0126677752,4697.906738,0.2222464085,128587.3359,0.0921764076,3698.576904,-0.0430774092,1893.123047,3.3729123476,1840.556152,0.40640636537,133020.0781,0.2371538282,1839.696167,0.237156123,1839.720947,0.8883428872,123617.5703,3.92686775528979,2621.22168,0.0692123771,125566.3984,3.15426042878979,4697.906738
0.2664,0.8138487637,11894.3916,0.52886316556,20793.30664,0.6402073205,11652.41992,0.2278530002,22324.51563,0,11895.55566,-0.2581986487,21173.69531,-0.1808464229,11655.82031,-0.5384322103,21788.31055,1.2229926885,132636.9063,1.0242179931,1806.670776,1.0242152512,1806.646118,1.0422743261,127544.4375,0.7232078165,1939.713013,-2.1232684553,1807.837402,0.8655343354,3706.852783,0.8883424998,123617.6094,-2.2771697943,3707.266357,0.7852747441,2621.222168,0.8883928061,0.0012362001,0.6335175187,1135.562866,0.331050545,117065.3047,0.3311042041,0.001170641975,-2.5452085433,1135.644043,0.5963831991,567.8240356,0.5963831991,567.8240967,0.0692123175,125566.4375,-2.6183472573,552.1708984,-2.6183472573,552.1710205,3.2326377927,3698.802734,0.0126677156,4697.908203,0.2222463787,128587.375,0.0921764672,3698.578369,-0.0430773794,1893.123779,3.3729123177,1840.557007,0.40640634302,133020.125,0.2371538282,1839.696899,0.237156123,1839.72168,0.8883424998,123617.6094,3.92686739768979,2621.222168,0.0692123175,125566.4375,3.15426036918979,4697.908203
0.2997,0.8138484657,11894.39063,0.52886290105,20793.30469,0.6402070075,11652.41895,0.2278528512,22324.51172,0,11895.55566,-0.2581986189,21173.69727,-0.1808463931,11655.82031,-0.538432121,21788.3125,1.2229923606,132636.9063,1.0242177248,1806.670532,1.024214983,1806.645996,1.0422740579,127544.4375,0.7232076526,1939.712769,-2.123268843,1807.837158,0.8655341268,3706.852295,0.8883422315,123617.6172,-2.277169943,3707.266113,0.785274446,2621.222168,0.8883881569,0.001236216631,0.6335173845,1135.562622,0.3310504258,117065.3125,0.3311167062,0.001170622068,-2.545208693,1135.643677,0.59638305755,567.8238525,0.5963830501,567.8239746,0.0692123175,125566.4375,-2.618347406,552.1707764,-2.618347406,552.1708374,3.232637882,3698.802979,0.0126676858,4697.907715,0.2222463787,128587.375,0.0921765268,3698.578613,-0.0430772304,1893.123901,3.372912407,1840.557129,0.40640637281,133020.125,0.2371538878,1839.697021,0.2371561825,1839.721924,0.8883422315,123617.6172,3.92686709958979,2621.222168,0.0692123175,125566.4375,3.15426033938979,4697.907715
