Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.6553946142,11914.42578,0.4758344292,14438.99219,0.5522844192,11687.97949,0.3742759822,17631.47461,0,11913.12305,-0.1378336549,16285.47266,-0.139179647,11691.6748,-0.2416982055,15961.24902,1.0988066792,135058.8594,0.9711883662,1254.5625,0.9711857442,1254.537231,0.9757521752,132201.0156,0.8696298002,1531.94812,-2.1791743638,1255.302246,0.9114153982,2784.255859,0.8637217882,130591.5313,-2.2317356468,2784.290283,0.7569674852,1796.841309,0.8637190462,0.001305983867,0.6907655592,1009.779907,0.4012493492,126683.3281,0.4012431502,0.001266776235,-2.4960324168,1008.287048,0.6455591322,504.1457214,0.6455591322,504.1457825,0.1815875172,132771.4219,-2.5860598688,489.6911011,-2.5860598688,489.6911621,-2.8410034778,2798.350098,0.1306024192,3695.087402,0.2933898572,133304.8125,0.3021557922,2798.636475,0.2536556122,1386.827026,-2.7919054628,1415.063599,0.4326323862,135389.2656,0.3575188522,1414.972412,0.3575201632,1414.997925,0.8637217882,130591.5313,3.89856013878979,1796.841309,0.1815875172,132771.4219,3.27219507278979,3695.087402
0.0333,0.6553945539,11914.41504,0.4758344889,14438.97949,0.5522843599,11687.96875,0.3742759229,17631.45703,0,11913.11133,-0.1378335953,16285.45703,-0.139179647,11691.66309,-0.2416981459,15961.23438,1.0988067389,135058.7344,0.9711884259,1254.561401,0.9711858029,1254.536011,0.9757522349,132200.9063,0.8696298599,1531.946655,-2.1791743041,1255.301025,0.9114154579,2784.253174,0.8637218479,130591.4063,-2.2317355871,2784.287842,0.7569675449,1796.839722,0.8637588019,0.001305922167,0.6907654999,1009.778931,0.4012494089,126683.2188,0.4012697939,0.001266808831,-2.4960323571,1008.286133,0.6455591919,504.1452637,0.6455591919,504.1453247,0.1815875769,132771.2969,-2.5860598091,489.6906128,-2.5860598091,489.6907043,-2.8410034181,2798.347412,0.1306024193,3695.083984,0.2933899159,133304.6875,0.3021558519,2798.634033,0.2536556719,1386.825806,-2.7919054031,1415.062256,0.4326323269,135389.1406,0.3575189109,1414.971069,0.3575202229,1414.996582,0.8637218479,130591.4063,3.89856019848979,1796.839722,0.1815875769,132771.2969,3.27219507288979,3695.083984
0.0666,0.6553946135,11914.42969,0.4758344295,14438.99609,0.5522843005,11687.9834,0.3742758635,17631.47852,0,11913.125,-0.1378337144,16285.47656,-0.1391797661,11691.67773,-0.241698265,15961.25391,1.0988066795,135058.9063,0.9711882475,1254.562866,0.9711857435,1254.537598,0.9757521745,132201.0625,0.8696296815,1531.948486,-2.1791743635,1255.302612,0.9114152785,2784.256592,0.8637217875,130591.5625,-2.2317357655,2784.291016,0.7569674855,1796.841797,0.8637656565,0.001305915182,0.6907654405,1009.780151,0.4012492295,126683.3672,0.4012064335,0.001266800216,-2.4960324165,1008.287292,0.6455591325,504.1458435,0.6455591325,504.1459351,0.1815875175,132771.4531,-2.5860599875,489.6911926,-2.5860599875,489.6912842,-2.8410034775,2798.35083,0.1306023002,3695.088379,0.2933898565,133304.8438,0.3021556735,2798.637207,0.2536556125,1386.827393,-2.7919054625,1415.063965,0.4326322675,135389.2969,0.3575188515,1414.972778,0.3575201635,1414.998291,0.8637217875,130591.5625,3.89856013908979,1796.841797,0.1815875175,132771.4531,3.27219495378979,3695.088379
0.0999,0.6553946138,11914.41504,0.4758345488,14438.97949,0.5522844198,11687.96875,0.3742759828,17631.45703,0,11913.11133,-0.1378335953,16285.45703,-0.1391796469,11691.66309,-0.2416982054,15961.23438,1.0988066788,135058.7344,0.9711883668,1254.561401,0.9711857438,1254.536133,0.9757521748,132200.9063,0.8696298008,1531.946655,-2.1791743632,1255.301025,0.9114153978,2784.253174,0.8637217878,130591.4063,-2.2317356462,2784.287842,0.7569674848,1796.839722,0.8638131018,0.001305895625,0.6907655598,1009.778931,0.4012493488,126683.2109,0.4013046618,0.001266807318,-2.4960322972,1008.286072,0.6455592518,504.1452332,0.6455592518,504.1453247,0.1815875168,132771.2969,-2.5860598682,489.6906128,-2.5860598682,489.6907043,-2.8410033582,2798.347412,0.1306024194,3695.083984,0.2933899758,133304.6875,0.3021557928,2798.634033,0.2536557318,1386.825806,-2.7919053432,1415.062378,0.4326323868,135389.1406,0.3575188518,1414.971069,0.3575202818,1414.996582,0.8637217878,130591.4063,3.89856013838979,1796.839722,0.1815875168,132771.2969,3.27219507298979,3695.083984
0.1332,0.6553945543,11914.42676,0.4758343693,14438.99219,0.5522843603,11687.97949,0.3742758033,17631.47461,0,11913.12207,-0.1378337145,16285.47266,-0.1391797066,11691.6748,-0.2416982651,15961.24902,1.0988066193,135058.8594,0.9711883073,1254.5625,0.9711856843,1254.537231,0.9757521153,132201.0156,0.8696297403,1531.94812,-2.1791744237,1255.302246,0.9114153383,2784.255859,0.8637217283,130591.5313,-2.2317357067,2784.290283,0.7569674253,1796.841309,0.8637975453,0.001305982238,0.6907655003,1009.779846,0.4012492893,126683.3359,0.4012852903,0.001266799518,-2.4960324767,1008.286987,0.6455590723,504.1456909,0.6455590723,504.1457825,0.1815874573,132771.4219,-2.5860599277,489.6910706,-2.5860599277,489.6911316,-2.8410035367,2798.350098,0.1306023598,3695.087402,0.2933897973,133304.8125,0.3021557333,2798.636475,0.2536555533,1386.827026,-2.7919054027,1415.063599,0.4326323273,135389.2656,0.3575187923,1414.972412,0.3575202223,1414.997925,0.8637217283,130591.5313,3.89856007888979,1796.841309,0.1815874573,132771.4219,3.27219501338979,3695.087402
0.1665,0.655394495,11914.41699,0.475834429,14438.98145,0.5522843,11687.9707,0.374275863,17631.46094,0,11913.11328,-0.1378336549,16285.45996,-0.1391797066,11691.66504,-0.2416982055,15961.2373,1.098806679,135058.7656,0.971188247,1254.561523,0.971185744,1254.536255,0.975752056,132200.9219,0.869629681,1531.946899,-2.179174364,1255.30127,0.911415279,2784.253662,0.863721788,130591.4297,-2.231735766,2784.288086,0.756967485,1796.839966,0.863787234,0.001305907266,0.69076544,1009.779053,0.40124923,126683.2344,0.401276529,0.001266777399,-2.496032417,1008.286194,0.645559132,504.1452942,0.645559132,504.1453857,0.181587517,132771.3281,-2.586059988,489.6907043,-2.586059988,489.6907654,-2.841003478,2798.3479,0.1306023598,3695.084473,0.293389857,133304.7031,0.302155793,2798.634521,0.253655612,1386.82605,-2.791905463,1415.062622,0.432632267,135389.1563,0.357518852,1414.971313,0.357520163,1414.996826,0.863721788,130591.4297,3.89856013858979,1796.839966,0.181587517,132771.3281,3.27219501338979,3695.084473
0.1998,0.6553944345,11914.4209,0.4758343695,14438.98535,0.5522842405,11687.97461,0.3742758035,17631.46484,0,11913.11621,-0.1378337145,16285.46582,-0.1391797662,11691.66895,-0.2416983247,15961.24219,1.0988065005,135058.7969,0.9711881875,1254.56189,0.9711856845,1254.536621,0.9757519965,132200.9688,0.8696296215,1531.947388,-2.1791744235,1255.301636,0.9114152195,2784.254395,0.8637217285,130591.4688,-2.2317358255,2784.289063,0.7569674255,1796.840454,0.8637820485,0.001305932645,0.6907653805,1009.779358,0.4012491705,126683.2734,0.4012514355,0.001266805106,-2.4960324765,1008.286499,0.6455590725,504.1454468,0.6455590725,504.1455078,0.1815874575,132771.3594,-2.5860600475,489.6908264,-2.5860600475,489.6908875,-2.8410035375,2798.348877,0.1306023002,3695.085693,0.2933897975,133304.75,0.3021557335,2798.635254,0.2536555525,1386.826416,-2.7919055225,1415.062988,0.4326323275,135389.2031,0.3575187925,1414.971802,0.3575201035,1414.997314,0.8637217285,130591.4688,3.89856007908979,1796.840454,0.1815874575,132771.3594,3.27219495378979,3695.085693
0.2331,0.6553945538,11914.42188,0.4758344888,14438.98535,0.5522843598,11687.97461,0.3742759228,17631.46484,0,11913.11719,-0.1378336549,16285.46582,-0.139179647,11691.66895,-0.2416982055,15961.24219,1.0988066198,135058.7969,0.9711883068,1254.56189,0.9711856838,1254.536621,0.9757521148,132200.9688,0.8696297408,1531.947388,-2.1791744232,1255.301636,0.9114153388,2784.254395,0.8637217278,130591.4688,-2.2317357062,2784.289063,0.7569674258,1796.840454,0.8638207908,0.001305937767,0.6907654998,1009.779358,0.4012492898,126683.2734,0.4012929198,0.001266869251,-2.4960324762,1008.286499,0.6455590728,504.1454468,0.6455590728,504.1455078,0.1815875768,132771.3594,-2.5860599282,489.6908264,-2.5860599282,489.6908875,-2.8410034182,2798.348877,0.1306023597,3695.085693,0.2933899168,133304.75,0.3021557328,2798.635254,0.2536556718,1386.826416,-2.7919054032,1415.062988,0.4326323268,135389.2031,0.3575189118,1414.971802,0.3575202228,1414.997314,0.8637217278,130591.4688,3.89856007938979,1796.840454,0.1815875768,132771.3594,3.27219501328979,3695.085693
0.2664,0.655394435,11914.41797,0.47583437,14438.98047,0.55228436,11687.9707,0.374275804,17631.45898,0,11913.11426,-0.1378336548,16285.46094,-0.1391797065,11691.66504,-0.2416982054,15961.2373,1.09880662,135058.75,0.971188307,1254.561523,0.971185684,1254.536255,0.975752115,132200.9219,0.869629741,1531.946899,-2.179174423,1255.30127,0.911415339,2784.253662,0.863721728,130591.4297,-2.231735706,2784.288086,0.756967425,1796.839966,0.863733888,0.00130595162,0.6907655,1009.778992,0.40124929,126683.2344,0.40129447,0.001266848878,-2.496032476,1008.286194,0.645559073,504.1452942,0.645559073,504.1453552,0.181587577,132771.3281,-2.586059928,489.6906738,-2.586059928,489.6907349,-2.841003418,2798.3479,0.1306023598,3695.084473,0.293389916,133304.7031,0.302155733,2798.634521,0.253655672,1386.82605,-2.791905403,1415.062622,0.432632327,135389.1563,0.357518911,1414.971313,0.357520223,1414.996826,0.863721728,130591.4297,3.89856007858979,1796.839966,0.181587577,132771.3281,3.27219501338979,3695.084473
0.2997,0.6553944351,11914.42773,0.4758343701,14438.99219,0.5522842411,11687.97949,0.3742758031,17631.47266,0,11913.12207,-0.1378336549,16285.47363,-0.1391797065,11691.6748,-0.241698265,15961.24902,1.0988066201,135058.8594,0.9711883071,1254.5625,0.9711856841,1254.537231,0.9757519961,132201.0313,0.8696296211,1531.94812,-2.1791744229,1255.302246,0.9114153381,2784.255859,0.8637217281,130591.5313,-2.2317357059,2784.290283,0.7569674251,1796.841309,0.8638094661,0.001306019956,0.6907655001,1009.779785,0.4012492891,126683.3281,0.4013968711,0.001266773557,-2.4960324759,1008.286987,0.6455590721,504.1456604,0.6455590721,504.145752,0.1815874581,132771.4219,-2.5860600469,489.69104,-2.5860600469,489.6911011,-2.8410035369,2798.350098,0.1306023002,3695.087402,0.2933897971,133304.8125,0.3021557331,2798.636719,0.2536555531,1386.827148,-2.7919054029,1415.063721,0.4326323271,135389.2656,0.3575187921,1414.972412,0.3575202231,1414.997925,0.8637217281,130591.5313,3.89856007868979,1796.841309,0.1815874581,132771.4219,3.27219495378979,3695.087402
