Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.6371869449,11908.75488,0.4250347618,15935.93848,0.5302023891,11677.0918,0.297970534,20773.01953,0,11905.43555,-0.177498579,19221.81641,-0.172824144,11680.46289,-0.367108702,17644.04492,1.0725160841,134458.375,0.9203853611,1384.627686,0.9203825895,1384.602539,0.9361680154,130986.3594,0.793321133,1804.907715,4.054098964,1385.554932,0.8450710777,3184.872314,0.8067919616,128841.3125,3.985317827,3184.984375,0.7187794451,2207.473633,0.8068433408,0.001288460335,0.6303279404,999.4017944,0.342514515,124821.3672,0.342553616,0.001248162007,3.726890445,998.0509644,0.58529681,499.0276184,0.58529681,499.02771,0.121755004,130827.3281,3.637256027,484.8181458,3.637256027,484.8182068,3.363925934,3189.770508,0.0749115950000001,4080.803467,0.250683785,131895.2813,0.223691702,3189.935303,0.128241778,1533.040039,3.452869773,1670.300903,0.4163047675,134568.8906,0.317850471,1670.102661,0.317852021,1670.128052,0.8067919616,128841.3125,3.86037209868979,2207.473633,0.121755004,130827.3281,3.21650424858979,4080.803467
0.0333,0.6371869445,11908.74023,0.4250347615,15935.91992,0.5302023292,11677.07715,0.297970533,20772.99609,0,11905.4209,-0.177498579,19221.79297,-0.172824264,11680.44922,-0.367108822,17644.02344,1.0725159943,134458.2188,0.9203853309,1384.625977,0.9203825295,1384.60083,0.936168015,130986.2109,0.7933210731,1804.905518,4.054098964,1385.553223,0.8450710774,3184.868652,0.8067919612,128841.1563,3.985317588,3184.980713,0.7187793851,2207.470947,0.8068449497,0.001288419124,0.6303278804,999.4005737,0.342514396,124821.2188,0.342559457,0.001248169458,3.726890445,998.0497437,0.5852967501,499.0270386,0.5852967501,499.0270996,0.121755004,130827.1719,3.637256026,484.8175964,3.637256026,484.8176575,3.363925934,3189.766602,0.0749114749999999,4080.798584,0.250683785,131895.125,0.223691702,3189.931396,0.128241777,1533.038208,3.452869773,1670.298828,0.4163047672,134568.7344,0.317850471,1670.100708,0.317851901,1670.125977,0.8067919612,128841.1563,3.86037203868979,2207.470947,0.121755004,130827.1719,3.21650412858979,4080.798584
0.0666,0.637186945,11908.75195,0.4250348215,15935.93457,0.5302024488,11677.08789,0.297970653,20773.01367,0,11905.43262,-0.177498579,19221.81055,-0.172824144,11680.45996,-0.367108702,17644.03906,1.072516114,134458.3438,0.9203854208,1384.627319,0.9203826194,1384.602173,0.9361680751,130986.3281,0.7933211927,1804.907227,4.054099083,1385.554443,0.8450711374,3184.871582,0.8067920213,128841.2734,3.985317708,3184.983643,0.7187795048,2207.473145,0.8068878655,0.001288419124,0.6303280001,999.4014893,0.342514515,124821.3281,0.342555404,0.001248210436,3.726890564,998.0506592,0.5852968698,499.0274963,0.5852968698,499.0275574,0.121755124,130827.2891,3.637255908,484.8180542,3.637255908,484.8181152,3.363926054,3189.769531,0.0749115949999999,4080.802246,0.250683904,131895.25,0.223691822,3189.934326,0.128241897,1533.039673,3.452869893,1670.300415,0.4163048272,134568.8594,0.31785059,1670.102295,0.317852021,1670.127563,0.8067920213,128841.2734,3.86037215838979,2207.473145,0.121755124,130827.2891,3.21650424858979,4080.802246
0.0999,0.6371870042,11908.74316,0.4250348212,15935.92188,0.5302023889,11677.08008,0.297970534,20772.99805,0,11905.42383,-0.177498579,19221.79492,-0.172824144,11680.4502,-0.367108703,17644.02539,1.072516054,134458.25,0.9203853907,1384.626221,0.9203825892,1384.601074,0.9361680449,130986.2266,0.7933211328,1804.905762,4.054099083,1385.553467,0.8450711371,3184.869141,0.8067920209,128841.1719,3.985317707,3184.981201,0.7187794448,2207.471436,0.8068819643,0.00128844392,0.6303279401,999.4007568,0.342514515,124821.2344,0.342593908,0.001248142915,3.726890564,998.0498657,0.5852968098,499.0270996,0.5852968098,499.0271912,0.121755004,130827.1953,3.637255907,484.8176575,3.637255907,484.8177185,3.363925934,3189.76709,0.0749115949999999,4080.799072,0.250683904,131895.1406,0.223691702,3189.931885,0.128241778,1533.038452,3.452869892,1670.299072,0.4163048269,134568.75,0.317850471,1670.100952,0.31785202,1670.126343,0.8067920209,128841.1719,3.86037209838979,2207.471436,0.121755004,130827.1953,3.21650424858979,4080.799072
0.1332,0.6371870039,11908.74512,0.4250347612,15935.92676,0.5302023886,11677.08203,0.297970533,20773.00391,0,11905.42676,-0.177498579,19221.80078,-0.172824145,11680.4541,-0.367108703,17644.03125,1.0725161133,134458.2656,0.9203853605,1384.626709,0.9203825591,1384.601563,0.9361680148,130986.2734,0.7933211324,1804.906372,4.054099083,1385.553833,0.8450710771,3184.869873,0.806791961,128841.2109,3.985317707,3184.982178,0.7187794445,2207.472168,0.8068290351,0.001288415515,0.6303279398,999.401062,0.342514515,124821.2813,0.342564344,0.001248170622,3.726890564,998.0502319,0.5852968095,499.0272827,0.5852968095,499.0273438,0.121755004,130827.2344,3.637255907,484.8178101,3.637255907,484.8178711,3.363925934,3189.768066,0.074911594,4080.800293,0.250683784,131895.1875,0.223691702,3189.932861,0.128241777,1533.03894,3.452869892,1670.299683,0.4163047669,134568.7969,0.31785047,1670.10144,0.31785202,1670.126831,0.806791961,128841.2109,3.86037209808979,2207.472168,0.121755004,130827.2344,3.21650424758979,4080.800293
0.1665,0.6371870043,11908.74512,0.4250348809,15935.92676,0.5302024486,11677.08398,0.297970653,20773.00391,0,11905.42676,-0.177498579,19221.80078,-0.172824144,11680.4541,-0.367108702,17644.03125,1.0725161436,134458.2813,0.9203854206,1384.626587,0.9203826489,1384.601563,0.9361681046,130986.2656,0.7933211925,1804.906372,4.054099202,1385.553833,0.8450711968,3184.870117,0.8067920806,128841.2109,3.985317827,3184.982178,0.7187795045,2207.472168,0.8068810108,0.001288440661,0.6303279998,999.401062,0.342514515,124821.2734,0.342598439,0.001248219167,3.726890683,998.0502319,0.5852968695,499.0272522,0.5852968695,499.0273438,0.121755123,130827.2344,3.637256027,484.8178101,3.637256027,484.8178711,3.363926053,3189.768066,0.0749115950000001,4080.800293,0.250683904,131895.1875,0.223691821,3189.932861,0.128241897,1533.03894,3.452870012,1670.299683,0.4163048866,134568.7969,0.31785059,1670.10144,0.317852021,1670.126831,0.8067920806,128841.2109,3.86037215808979,2207.472168,0.121755123,130827.2344,3.21650424858979,4080.800293
0.1998,0.6371870636,11908.74121,0.4250348209,15935.92188,0.5302023887,11677.0791,0.297970652,20772.99805,0,11905.42285,-0.177498579,19221.79492,-0.172824144,11680.4502,-0.367108703,17644.02539,1.0725160836,134458.2344,0.9203854202,1384.626221,0.9203826188,1384.601074,0.9361681043,130986.2266,0.7933211922,1804.905762,4.054099202,1385.553345,0.8450711368,3184.869141,0.8067920207,128841.1719,3.985317826,3184.981201,0.7187795042,2207.471436,0.8068409561,0.001288478263,0.6303279995,999.4007568,0.342514515,124821.2422,0.342563152,0.001248128712,3.726890683,998.0498657,0.5852968692,499.0271301,0.5852968692,499.0271912,0.121755123,130827.1953,3.637256026,484.8176575,3.637256026,484.8177185,3.363926053,3189.76709,0.0749115939999998,4080.799072,0.250683904,131895.1406,0.223691821,3189.931885,0.128241897,1533.038452,3.452869773,1670.299072,0.416304827,134568.75,0.31785047,1670.100952,0.31785202,1670.126343,0.8067920207,128841.1719,3.86037215778979,2207.471436,0.121755123,130827.1953,3.21650424758979,4080.799072
0.2331,0.6371868844,11908.75195,0.4250348206,15935.93457,0.5302023883,11677.08789,0.297970533,20773.01367,0,11905.43262,-0.177498579,19221.81055,-0.172824145,11680.45996,-0.367108703,17644.03906,1.0725160535,134458.3438,0.9203853603,1384.627319,0.9203825887,1384.602173,0.9361680444,130986.3359,0.7933211322,1804.907227,4.054098963,1385.554443,0.8450711365,3184.871582,0.8067920204,128841.2734,3.985317826,3184.983643,0.7187794442,2207.473145,0.8068519826,0.001288423664,0.6303279395,999.4015503,0.342514514,124821.3359,0.34257853,0.001248251181,3.726890444,998.0506592,0.5852968092,499.0274963,0.5852968092,499.0275574,0.121755003,130827.2891,3.637256026,484.8180237,3.637256026,484.8180847,3.363925933,3189.769531,0.074911594,4080.802246,0.250683784,131895.25,0.223691701,3189.934326,0.128241777,1533.039673,3.452869772,1670.300415,0.416304826,134568.8594,0.31785047,1670.102295,0.31785202,1670.127563,0.8067920204,128841.2734,3.86037209778979,2207.473145,0.121755003,130827.2891,3.21650424758979,4080.802246
0.2664,0.6371869447,11908.74023,0.4250347616,15935.91992,0.530202389,11677.07715,0.297970534,20772.99414,0,11905.4209,-0.177498579,19221.79297,-0.172824263,11680.44824,-0.367108822,17644.02344,1.0725160839,134458.2188,0.9203853609,1384.625977,0.9203825595,1384.60083,0.9361679854,130986.2109,0.7933211329,1804.905518,4.054098964,1385.553223,0.8450710776,3184.868652,0.8067919614,128841.1563,3.985317826,3184.980713,0.7187794449,2207.470947,0.8068503144,0.001288425527,0.6303279402,999.4005737,0.342514396,124821.2188,0.342590809,0.001248195535,3.726890445,998.0497437,0.5852968099,499.0270386,0.5852968099,499.0270996,0.121755004,130827.1719,3.637256026,484.8175964,3.637256026,484.8176575,3.363925934,3189.766602,0.0749114749999999,4080.798584,0.250683785,131895.125,0.223691702,3189.931396,0.128241778,1533.038208,3.452869773,1670.298828,0.416304827,134568.7188,0.317850471,1670.100708,0.317851901,1670.125977,0.8067919614,128841.1563,3.86037209848979,2207.470947,0.121755004,130827.1719,3.21650412858979,4080.798584
0.2997,0.6371868845,11908.75586,0.4250348803,15935.93848,0.5302025076,11677.09082,0.297970652,20773.01953,0,11905.43555,-0.177498579,19221.81641,-0.172824145,11680.46289,-0.367108703,17644.04492,1.072516143,134458.375,0.92038542,1384.627686,0.9203826186,1384.602539,0.9361680743,130986.375,0.7933211919,1804.907715,4.054099083,1385.55481,0.8450711962,3184.872314,0.8067920801,128841.3125,3.985317707,3184.984375,0.718779504,2207.473633,0.8068247434,0.001288401429,0.6303279993,999.4017944,0.342514515,124821.3672,0.342562198,0.001248220098,3.726890564,998.0509644,0.5852968689,499.0276489,0.5852968689,499.02771,0.121755123,130827.3281,3.637255907,484.8181763,3.637255907,484.8182373,3.363926053,3189.770508,0.074911594,4080.803467,0.250683903,131895.2813,0.223691821,3189.935303,0.128241896,1533.040039,3.452869892,1670.300903,0.416304826,134568.8906,0.317850589,1670.102661,0.31785202,1670.128052,0.8067920801,128841.3125,3.86037215758979,2207.473633,0.121755123,130827.3281,3.21650424758979,4080.803467
