Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.8104057913,11895.33984,0.5327264667,20742.63867,0.6370530724,11654.87402,0.2396562993,22165.49805,0,11894.5498,-0.26580581628,21223.34766,-0.18116280064,11653.23535,-0.5550874174,21941.38281,1.2196759583,132769.2813,1.0280812383,1802.268311,1.0280786153,1802.243652,1.0394424793,127852.3438,0.7350111008,1925.896484,-2.1194341777,1803.362305,0.8738335963,3690.90625,0.8863632083,124149.1328,-2.2688803077,3691.276611,0.7832954523,2609.997559,0.6608788967,561.6190796,0.6608788967,561.6192017,0.6182637215,116551.3047,-2.5570492147,567.3981323,-2.5570492147,567.3981934,0.6183360815,0.001165509108,0.5845426917,1134.772217,0.0676802397,125006.1563,0.0677549541,0.001250029425,-2.5935236807,1124.955322,-3.0630502107,3714.010986,0.0111356527,4718.959961,0.2215982377,128262.7813,0.0796644688,3713.739502,-0.0597326011,1906.423828,-2.9178525807,1844.94751,0.4062743187,132880.4219,0.2295466065,1844.011108,0.2295489907,1844.035889,0.8863632083,124149.1328,3.92488810588979,2609.997559,0.0676802397,125006.1563,3.15272830628979,4718.959961
0.0333,0.8104094418,11895.35059,0.5327294618,20742.66211,0.6370569021,11654.88281,0.2396587581,22165.53516,0,11894.55957,-0.26580644023,21223.35547,-0.18116272237,11653.24414,-0.5550885945,21941.39648,1.2196797278,132769.375,1.0280842928,1802.270386,1.0280815508,1802.245728,1.0394461308,127852.4141,0.7350135595,1925.89978,-2.1194312422,1803.364502,0.8738362938,3690.911377,0.8863667398,124149.1797,-2.2688776102,3691.281982,0.7832989838,2610.000732,0.6608804614,561.621521,0.6608804614,561.621582,0.6182662994,116551.2734,-2.5570472332,567.4005737,-2.5570472332,567.4006348,0.6183065921,0.00116555253,0.5845446736,1134.7771,0.0676804334,125006.2109,0.0677267462,0.001250062021,-2.5935214612,1124.960205,-3.0630510892,3714.012695,0.0111358315,4718.965332,0.2215983719,128262.8594,0.07966353,3713.741211,-0.0597337782,1906.424927,-2.9178529832,1844.948242,0.4062743932,132880.5156,0.2295459658,1844.011841,0.22954835,1844.036499,0.8863667398,124149.1797,3.92489163738979,2610.000732,0.0676804334,125006.2109,3.15272848508979,4718.965332
0.0666,0.8104135543,11895.33789,0.5327325612,20742.65234,0.6370607763,11654.87109,0.2396612912,22165.53516,0,11894.54883,-0.26580711084,21223.32813,-0.1811626591,11653.2334,-0.5550898165,21941.37305,1.2196837213,132769.2188,1.0280873333,1802.269531,1.0280847103,1802.244873,1.0394500043,127852.2578,0.7350160628,1925.899658,-2.1194280837,1803.363525,0.8738389763,3690.910156,0.8863704953,124149.0078,-2.2688749287,3691.280762,0.7833027393,2609.999268,0.6608821302,561.6229858,0.6608821302,561.6231079,0.6182688623,116551.0391,-2.5570452657,567.4021606,-2.5570452657,567.4022217,0.6183311492,0.001165543566,0.5845467001,1134.780151,0.0676806122,125006.0469,0.0676992982,0.001250072964,-2.5935192557,1124.963257,-3.0630522217,3714.008057,0.0111360103,4718.962402,0.2215985209,128262.7188,0.0796625763,3713.736572,-0.0597350151,1906.422852,-2.9178538767,1844.945801,0.4062743932,132880.4063,0.2295452803,1844.009277,0.2295476943,1844.034058,0.8863704953,124149.0078,3.92489539288979,2609.999268,0.0676806122,125006.0469,3.15272866388979,4718.962402
0.0999,0.8104175777,11895.35254,0.5327358097,20742.68555,0.6370647997,11654.88379,0.2396638543,22165.58008,0,11894.5625,-0.2658078037,21223.3457,-0.18116252868,11653.24609,-0.5550910979,21941.39648,1.2196877447,132769.3594,1.0280906407,1802.272461,1.0280880187,1802.247803,1.0394539087,127852.3672,0.7350186557,1925.903687,-2.1194247753,1803.366455,0.8738419267,3690.916992,0.8863742797,124149.0938,-2.2688719783,3691.287354,0.7833065237,2610.003662,0.660883829,561.6257324,0.660883829,561.6258545,0.6182715744,116551.0391,-2.5570432693,567.4049683,-2.5570432693,567.4050293,0.6183171719,0.001165510272,0.5845487565,1134.785767,0.067680791,125006.1484,0.0677729398,0.001250054571,-2.5935170203,1124.968872,-3.0630530863,3714.011475,0.0111361891,4718.969727,0.2215986997,128262.8438,0.0796615631,3713.73999,-0.0597362965,1906.425049,-2.9178545023,1844.947266,0.4062744826,132880.5469,0.2295445949,1844.010864,0.2295470089,1844.035522,0.8863742797,124149.0938,3.92489917728979,2610.003662,0.067680791,125006.1484,3.15272884268979,4718.969727
0.1332,0.8104217347,11895.33789,0.532739073,20742.66992,0.6370688378,11654.86816,0.2396664023,22165.57227,0,11894.54785,-0.26580861587,21223.3125,-0.1811624803,11653.23145,-0.5550925136,21941.37109,1.2196919027,132769.1719,1.0280938447,1802.270996,1.0280912217,1802.24646,1.0394579467,127852.1797,0.7350212037,1925.902954,-2.1194215713,1803.365112,0.8738447727,3690.914795,0.8863781987,124148.875,-2.2688691323,3691.285156,0.7833104427,2610.001709,0.6608855426,561.6271973,0.6608855426,561.6272583,0.6182742416,116550.7656,-2.5570411383,567.4064331,-2.5570411383,567.4064941,0.6183391511,0.001165563939,0.5845507681,1134.788818,0.0676808953,125005.9375,0.0677336752,0.001250040368,-2.5935148893,1124.971924,-3.0630542933,3714.006348,0.0111362934,4718.966309,0.221598804,128262.6563,0.0796603858,3713.734863,-0.0597377122,1906.422852,-2.9178552333,1844.944336,0.4062745273,132880.3594,0.2295438051,1844.007935,0.2295461893,1844.032593,0.8863781987,124148.875,3.92490309628979,2610.001709,0.0676808953,125005.9375,3.15272894698979,4718.966309
0.1665,0.8104260267,11895.34766,0.5327425301,20742.69922,0.6370730698,11654.87793,0.239669025,22165.61133,0,11894.55859,-0.26580937951,21223.32422,-0.1811623387,11653.24121,-0.5550939143,21941.39453,1.2196960747,132769.2813,1.0280973017,1802.27356,1.0280946787,1802.248901,1.0394621197,127852.25,0.7350238264,1925.906372,-2.1194181143,1803.367676,0.8738477527,3690.92041,0.8863822517,124148.9219,-2.2688660323,3691.290771,0.7833144967,2610.005615,0.6608872712,561.6298828,0.6608872712,561.6299438,0.6182771027,116550.7188,-2.5570389923,567.4091797,-2.5570389923,567.4093018,0.6183764637,0.001165515627,0.5845529139,1134.794312,0.0676810443,125005.9922,0.0677273274,0.001250078902,-2.5935125053,1124.977417,-3.0630554853,3714.009033,0.0111364424,4718.972656,0.221598953,128262.7344,0.0796592832,3713.737549,-0.0597391128,1906.424805,-2.9178559483,1844.945435,0.4062746465,132880.4688,0.2295430303,1844.009033,0.2295454145,1844.033691,0.8863822517,124148.9219,3.92490715028979,2610.005615,0.0676810443,125005.9922,3.15272909598979,4718.972656
0.1998,0.8104304076,11895.33887,0.5327458381,20742.69531,0.6370772123,11654.86816,0.2396716177,22165.61133,0,11894.54883,-0.26581022892,21223.29883,-0.18116229404,11653.23145,-0.5550954044,21941.37891,1.2197003366,132769.1563,1.0281006096,1802.273315,1.0280979876,1802.248657,1.0394662616,127852.1094,0.7350264191,1925.906372,-2.1194148064,1803.367432,0.8738507036,3690.919922,0.8863861556,124148.7578,-2.2688630824,3691.290283,0.78331846,2610.005127,0.6608889103,561.6316528,0.6608889103,561.6317139,0.6182798743,116550.4844,-2.5570369964,567.4110107,-2.5570369964,567.4111328,0.6182948351,0.001165558584,0.5845549702,1134.797974,0.0676811337,125005.8359,0.0676875412,0.001250002766,-2.5935102704,1124.981079,-3.0630565884,3714.005615,0.0111365318,4718.97168,0.2215990126,128262.6016,0.0796580612,3713.734131,-0.059740603,1906.423584,-2.9178568124,1844.943359,0.4062746763,132880.3594,0.229542166,1844.006958,0.2295445799,1844.031616,0.8863861556,124148.7578,3.92491111358979,2610.005127,0.0676811337,125005.8359,3.15272918538979,4718.97168
0.2331,0.8104348331,11895.34277,0.5327492506,20742.7168,0.6370815784,11654.87109,0.2396743149,22165.63477,0,11894.55273,-0.26581099999,21223.29883,-0.18116219898,11653.23438,-0.5550968498,21941.38867,1.2197047621,132769.1875,1.0281040821,1802.275146,1.0281013401,1802.250488,1.0394704491,127852.1094,0.7350291163,1925.908325,-2.1194113339,1803.369263,0.8738536981,3690.923584,0.8863903431,124148.7344,-2.2688602059,3691.293945,0.7833225876,2610.007324,0.6608906538,561.6340942,0.6608906538,561.6341553,0.6182827503,116550.375,-2.5570348349,567.4135132,-2.5570348349,567.4135742,0.6183086187,0.001165479771,0.584557131,1134.802979,0.0676812679,125005.8203,0.0677380711,0.001250090427,-2.5935078709,1124.985962,-3.0630577649,3714.006104,0.011136666,4718.975098,0.2215991468,128262.6094,0.0796569139,3713.734619,-0.0597420484,1906.424316,-2.9178577509,1844.943237,0.4062747509,132880.375,0.2295414061,1844.006714,0.2295437902,1844.031494,0.8863903431,124148.7344,3.92491524118979,2610.007324,0.0676812679,125005.8203,3.15272931958979,4718.975098
0.2664,0.8104391989,11895.34277,0.5327527225,20742.73047,0.6370858252,11654.87012,0.2396770418,22165.65234,0,11894.55273,-0.26581171528,21223.28906,-0.18116205186,11653.23438,-0.5550982356,21941.39063,1.2197091279,132769.1719,1.0281074939,1802.276367,1.0281048719,1802.251709,1.0394746959,127852.0703,0.7350318134,1925.909912,-2.1194079221,1803.370483,0.8738567529,3690.926025,0.8863944709,124148.6719,-2.2688571511,3691.296631,0.7833267152,2610.008545,0.6608924568,561.6362915,0.6608924568,561.6364136,0.6182856262,116550.2266,-2.5570327341,567.4158325,-2.5570324961,567.4158936,0.6183303893,0.001165500376,0.5845593512,1134.807617,0.0676814616,125005.7656,0.0677619874,0.001250053523,-2.5935055311,1124.990479,-3.0630587641,3714.005371,0.0111368746,4718.977539,0.2215993404,128262.5781,0.0796558261,3713.733887,-0.0597434342,1906.424438,-2.9178582731,1844.942505,0.4062748253,132880.375,0.2295406759,1844.005981,0.2295430899,1844.030762,0.8863944709,124148.6719,3.92491936878979,2610.008545,0.0676814616,125005.7656,3.15272952818979,4718.977539
0.2997,0.8104426415,11895.31934,0.5327515751,20742.91016,0.637087956,11654.8418,0.2396760136,22165.95898,0,11894.54688,-0.26581282172,21223.31055,-0.18116226237,11653.22656,-0.5550997109,21941.44336,1.2197113785,132768.8125,1.0281064065,1802.291992,1.0281037835,1802.267334,1.0394749195,127851.6094,0.7350307852,1925.936523,-2.1194088905,1803.385986,0.8738554265,3690.967773,0.8863924295,124148.1563,-2.2688583585,3691.338379,0.7833244353,2610.011963,0.6608941704,561.6343384,0.6608941704,561.6344604,0.6182833463,116549.8828,-2.5570308415,567.4136353,-2.5570308415,567.4137573,0.6182870417,0.001165546477,0.5845610052,1134.803223,0.0676805526,125005.625,0.0677003711,0.00125008123,-2.5935038775,1124.986084,-3.0630602095,3714.011475,0.0111359208,4718.978516,0.2215988189,128262.4609,0.0796544402,3713.73999,-0.0597449243,1906.428955,-2.9178594795,1844.944336,0.4062746316,132880.2813,0.2295395881,1844.007813,0.2295419722,1844.032593,0.8863924295,124148.1563,3.92491708888979,2610.011963,0.0676805526,125005.625,3.15272857438979,4718.978516
