Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.8104057913,1.03016664914726,0.5327264667,2.39515360392249,0.6370530724,1.00934169825424,0.2396562993,2.55945125313194,0,1.03009822967624,-0.26580581628,2.45066109687717,-0.18116280064,1.00919978526935,-0.5550874174,2.5335726543037,1.2196759583,0.999839743128612,1.0280812383,2.39324221739398,1.0280786153,2.39320947256932,1.0394424793,0.962811979787247,0.7350111008,2.55740876300601,-2.1194341777,2.3946949381739,0.8738335963,4.90117514913311,0.8863632083,0.93492437281418,-2.2688803077,4.90166695358613,0.7832954523,3.46583042456548,0.6608788967,0.745777131623035,0.6608788967,0.745777293760311,0.6182637215,0.877707745432772,-2.5570492147,0.753451168176732,-2.5570492147,0.753451249311766,0.6183360815,1.54768609368442e-06,0.5845426917,1.5068704034103,0.0676802397,0.941378321707365,0.0677549541,1.65992109756111e-06,-2.5935236807,1.49383449337719,-3.0630502107,4.9318560578965,0.0111356527,6.26633344875865,0.2215982377,0.96590284328031,0.0796644688,4.93149555276739,-0.0597326011,2.53155091368382,-2.9178525807,2.44991616556693,0.4062743187,1.00067670471993,0.2295466065,2.44867271208935,0.2295489907,2.44870561891849,0.8863632083,0.93492437281418,3.92488810588979,3.46583042456548,0.0676802397,0.941378321707365,3.15272830628979,6.26633344875865
0.0333,0.8104094418,1.03016758012457,0.5327294618,2.39515631054055,0.6370569021,1.00934245949057,0.2396587581,2.55945553822563,0,1.03009907578306,-0.26580644023,2.45066199869829,-0.18116272237,1.00920054650568,-0.5550885945,2.53357423277934,1.2196797278,0.999840448751049,1.0280842928,2.39324497279814,1.0280815508,2.39321222930139,1.0394461308,0.962812509192342,0.7350135595,2.55741313978293,-2.1194312422,2.39469785558254,0.8738362938,4.90118195730522,0.8863667398,0.934924726001931,-2.2688776102,4.90167408576721,0.7832989838,3.46583463801001,0.6608804614,0.745780373571813,0.6608804614,0.745780454574056,0.6182662994,0.877707509723249,-2.5570472332,0.753454410125511,-2.5570472332,0.753454491260544,0.6183065921,1.54774375400221e-06,0.5845446736,1.50687688757344,0.0676804334,0.941378732881166,0.0677267462,1.65996438197267e-06,-2.5935214612,1.49384097754032,-3.0630510892,4.93185832728721,0.0111358315,6.26634058093973,0.2215983719,0.965903431424519,0.07966353,4.9314978221581,-0.0597337782,2.5315523730521,-2.9178529832,2.44991713759384,0.4062743932,1.00067741034237,0.2295459658,2.44867368544416,0.22954835,2.44870642894092,0.8863667398,0.934924726001931,3.92489163738979,3.46583463801001,0.0676804334,0.941378732881166,3.15272848508979,6.26634058093973
0.0666,0.8104135543,1.03016648027231,0.5327325612,2.39515518239813,0.6370607763,1.00934144450879,0.2396612912,2.55945553822563,0,1.03009814567177,-0.26580711084,2.45065884174702,-0.1811626591,1.00919961639439,-0.5550898165,2.53357152731598,1.2196837213,0.999839272462631,1.0280873333,2.39324383743884,1.0280847103,2.39321109394208,1.0394500043,0.962811332150858,0.7350160628,2.55741297777844,-2.1194280837,2.39469655821875,0.8738389763,4.90118033593246,0.8863704953,0.934923431482219,-2.2688749287,4.90167246572235,0.7833027393,3.46583269395618,0.6608821302,0.745782318687964,0.6608821302,0.74578248082524,0.6182688623,0.877705745290622,-2.5570452657,0.753456517378938,-2.5570452657,0.753456598513971,0.6183311492,1.54773185065624e-06,0.5845467001,1.50688093901348,0.0676806122,0.941377497853633,0.0676992982,1.65997891324386e-06,-2.5935192557,1.49384503030827,-3.0630522217,4.93185216846095,0.0111360103,6.26633669017627,0.2215985209,0.96590237261433,0.0796625763,4.93149166200393,-0.0597350151,2.53154961764794,-2.9178538767,2.44991389617623,0.4062743932,1.0006765872417,0.2295452803,2.44867028069416,0.2295476943,2.4487031875233,0.8863704953,0.934923431482219,3.92489539288979,3.46583269395618,0.0676806122,0.941377497853633,3.15272866388979,6.26633669017627
0.0999,0.8104175777,1.03016774899952,0.5327358097,2.39515901715861,0.6370647997,1.00934254436106,0.2396638543,2.55946072514045,0,1.0300993295285,-0.2658078037,2.45066087055586,-0.18116252868,1.00920071538063,-0.5550910979,2.53357423277934,1.2196877447,0.999840331272821,1.0280906407,2.3932477282023,1.0280880187,2.39321498470554,1.0394539087,0.96281215600459,0.7350186557,2.55741832791018,-2.1194247753,2.39470044898222,0.8738419267,4.90118941349527,0.8863742797,0.934924079118608,-2.2688719783,4.90168121927619,0.7833065237,3.46583852877347,0.660883829,0.745785965913538,0.660883829,0.745786128050814,0.6182715744,0.877705745290622,-2.5570432693,0.753460245739545,-2.5570432693,0.753460326741788,0.6183171719,1.54768763936656e-06,0.5845487565,1.50688839653144,0.067680791,0.941378262215185,0.0677729398,1.65995448907581e-06,-2.5935170203,1.49385248649833,-3.0630530863,4.93185670724235,0.0111361891,6.26634641708493,0.2215986997,0.96590331394629,0.0796615631,4.93149620078534,-0.0597362965,2.53155253505658,-2.9178545023,2.44991584155796,0.4062744826,1.00067764605189,0.2295445949,2.44867238808037,0.2295470089,2.44870513157713,0.8863742797,0.934924079118608,3.92489917728979,3.46583852877347,0.067680791,0.941378262215185,3.15272884268979,6.26634641708493
0.1332,0.8104217347,1.03016648027231,0.532739073,2.39515721236167,0.6370688378,1.00934119076335,0.2396664023,2.55945982331933,0,1.03009806080128,-0.26580861587,2.45065703695008,-0.1811624803,1.00919944751944,-0.5550925136,2.53357130099467,1.2196919027,0.999838919274879,1.0280938447,2.39324578282057,1.0280912217,2.3932132013283,1.0394579467,0.962810744006649,0.7350212037,2.55741735455536,-2.1194215713,2.39469866560497,0.8738447727,4.90118649608663,0.8863781987,0.934922431411144,-2.2688691323,4.90167830053964,0.7833104427,3.4658359353738,0.6608855426,0.745787911162479,0.6608855426,0.745787992164722,0.6182742416,0.877703685656292,-2.5570411383,0.753462190855696,-2.5570411383,0.753462271857938,0.6183391511,1.54775890407742e-06,0.5845507681,1.50689244797148,0.0676808953,0.941376673999901,0.0677336752,1.6599356288323e-06,-2.5935148893,1.49385653926627,-3.0630542933,4.93184989907024,0.0111362934,6.26634187830352,0.221598804,0.965901901948349,0.0796603858,4.93148939261323,-0.0597377122,2.53154961764794,-2.9178552333,2.44991195079449,0.4062745273,1.00067623405395,0.2295438051,2.44866849864482,0.2295461893,2.44870124214157,0.8863781987,0.934922431411144,3.92490309628979,3.4658359353738,0.0676808953,0.941376673999901,3.15272894698979,6.26634187830352
0.1665,0.8104260267,1.03016732637913,0.5327425301,2.39516059563425,0.6370730698,1.00934203687017,0.239669025,2.55946433357963,0,1.03009899091257,-0.26580937951,2.45065839025911,-0.1811623387,1.00920029276023,-0.5550939143,2.53357400761273,1.2196960747,0.999839743128612,1.0280973017,2.39324918757058,1.0280946787,2.39321644274591,1.0394621197,0.962811273411744,0.7350238264,2.55742189333677,-2.1194181143,2.39470207035498,0.8738477527,4.90119395227668,0.8863822517,0.934922784598896,-2.2688660323,4.90168575672969,0.7833144967,3.46584112217315,0.6608872712,0.74579147725302,0.6608872712,0.745791558255262,0.6182771027,0.877703333221606,-2.5570389923,0.753465838081269,-2.5570389923,0.753466000218545,0.6183764637,1.54769475030115e-06,0.5845529139,1.50689974348495,0.0676810443,0.941377085926767,0.0677273274,1.65998679834743e-06,-2.5935125053,1.49386383345184,-3.0630554853,4.93185346449683,0.0111364424,6.26635030652049,0.221598953,0.965902490092558,0.0796592832,4.93149295936772,-0.0597391128,2.53155221104761,-2.9178559483,2.44991341016277,0.4062746465,1.00067705790768,0.2295430303,2.44866995668519,0.2295454145,2.44870270018194,0.8863822517,0.934922784598896,3.92490715028979,3.46584112217315,0.0676810443,0.941377085926767,3.15272909598979,6.26635030652049
0.1998,0.8104304076,1.0301665651428,0.5327458381,2.39516014414634,0.6370772123,1.00934119076335,0.2396716177,2.55946433357963,0,1.03009814567177,-0.26581022892,2.45065545847444,-0.18116229404,1.00919944751944,-0.5550954044,2.53357220397049,1.2197003366,0.999838801796651,1.0281006096,2.3932488622337,1.0280979876,2.39321611873694,1.0394662616,0.962810214601554,0.7350264191,2.55742189333677,-2.1194148064,2.39470174634601,0.8738507036,4.90119330425874,0.8863861556,0.934921548818297,-2.2688630824,4.90168510871175,0.78331846,3.46584047415521,0.6608889103,0.745793827645965,0.6608889103,0.745793908780999,0.6182798743,0.877701568035913,-2.5570369964,0.753468269476458,-2.5570369964,0.753468431613734,0.6182948351,1.54775179314283e-06,0.5845549702,1.50690460627533,0.0676811337,0.941375908885284,0.0676875412,1.65988569692521e-06,-2.5935102704,1.49386869624222,-3.0630565884,4.93184892571542,0.0111365318,6.2663490104846,0.2215990126,0.965901490021483,0.0796580612,4.93148842058631,-0.059740603,2.53155058967485,-2.9178568124,2.4499106534307,0.4062746763,1.00067623405395,0.229542166,2.44866720128103,0.2295445799,2.44869994477778,0.8863861556,0.934921548818297,3.92491111358979,3.46584047415521,0.0676811337,0.941375908885284,3.15272918538979,6.2663490104846
0.2331,0.8104348331,1.0301669028927,0.5327492506,2.3951626255978,0.6370815784,1.00934144450879,0.2396743149,2.5594670401977,0,1.03009848342168,-0.26581099999,2.45065545847444,-0.18116219898,1.00919970126488,-0.5550968498,2.53357333095822,1.2197047621,0.999839036753108,1.0281040821,2.39325129362889,1.0281013401,2.39321855013213,1.0394704491,0.962810214601554,0.7350291163,2.55742448673644,-2.1194113339,2.3947041777412,0.8738536981,4.90119816704911,0.8863903431,0.934921372600954,-2.2688602059,4.90168997150213,0.7833225876,3.46584339156385,0.6608906538,0.745797069594744,0.6608906538,0.745797150729777,0.6182827503,0.877700744182181,-2.5570348349,0.75347159256027,-2.5570348349,0.753471673562513,0.6183086187,1.54764713691727e-06,0.584557131,1.50691125244295,0.0676812679,0.941375791407055,0.0677380711,1.66000210245969e-06,-2.5935078709,1.49387518040536,-3.0630577649,4.93184957506127,0.011136666,6.26635354926601,0.2215991468,0.965901548760598,0.0796569139,4.93148906860426,-0.0597420484,2.53155156170176,-2.9178577509,2.44991049142622,0.4062747509,1.00067635153218,0.2295414061,2.44866687727206,0.2295437902,2.4486997827733,0.8863903431,0.934921372600954,3.92491524118979,3.46584339156385,0.0676812679,0.941375791407055,3.15272931958979,6.26635354926601
0.2664,0.8104391989,1.0301669028927,0.5327527225,2.39516420407343,0.6370858252,1.00934136050433,0.2396770418,2.55946906900654,0,1.03009848342168,-0.26581171528,2.45065433033201,-0.18116205186,1.00919970126488,-0.5550982356,2.53357355727952,1.2197091279,0.999838919274879,1.0281074939,2.39325291500165,1.0281048719,2.39322017150489,1.0394746959,0.962809920152917,0.7350318134,2.55742659412266,-2.1194079221,2.39470579778605,0.8738567529,4.90120140846673,0.8863944709,0.934920901934974,-2.2688571511,4.90169353825662,0.7833267152,3.46584501293661,0.6608924568,0.745799987401761,0.6608924568,0.745800149539037,0.6182856262,0.877699626632877,-2.5570327341,0.753474672371772,-2.5570324961,0.753474753506806,0.6183303893,1.54767449841255e-06,0.5845593512,1.50691741126922,0.0676814616,0.941375379480189,0.0677619874,1.65995309743072e-06,-2.5935055311,1.49388117855504,-3.0630587641,4.93184860170645,0.0111368746,6.26635679068363,0.2215993404,0.965901313051075,0.0796558261,4.93148809657734,-0.0597434342,2.53155172370625,-2.9178582731,2.44990951939931,0.4062748253,1.00067635153218,0.2295406759,2.44866590391724,0.2295430899,2.44869881074638,0.8863944709,0.934920901934974,3.92491936878979,3.46584501293661,0.0676814616,0.941375379480189,3.15272952818979,6.26635679068363
0.2997,0.8104426415,1.03016487379518,0.5327515751,2.39518495288741,0.637087956,1.00933890792038,0.2396760136,2.55950447674385,0,1.03009797679682,-0.26581282172,2.45065681178347,-0.18116226237,1.00919902403302,-0.5550997109,2.53357964601546,1.2197113785,0.999836212757226,1.0281064065,2.39327366352695,1.0281037835,2.39324092003019,1.0394749195,0.962806449273712,0.7350307852,2.55746193101909,-2.1194088905,2.39472638430687,0.8738554265,4.90125684587052,0.8863924295,0.934917019128902,-2.2688583585,4.90174897566041,0.7833244353,3.46584955171802,0.6608941704,0.745797393869296,0.6608941704,0.745797555873782,0.6182833463,0.877697037593453,-2.5570308415,0.753471754697546,-2.5570308415,0.753471916702032,0.6182870417,1.5477357161895e-06,0.5845610052,1.50691157645192,0.0676805526,0.941374320669999,0.0677003711,1.65998988971171e-06,-2.5935038775,1.49387534240984,-3.0630602095,4.93185670724235,0.0111359208,6.26635808804742,0.2215988189,0.965900430458228,0.0796544402,4.93149620078534,-0.0597449243,2.53155772185593,-2.9178594795,2.44991195079449,0.4062746316,1.00067564590974,0.2295395881,2.44866833664033,0.2295419722,2.44870124214157,0.8863924295,0.934917019128902,3.92491708888979,3.46584955171802,0.0676805526,0.941374320669999,3.15272857438979,6.26635808804742
