Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.652793884,11915.38379,0.483430386,14407.04688,0.54978776,11690.04492,0.391680718,17558.13086,0,11912.17285,-0.147303581,16312.81934,-0.139365434,11689.51563,-0.264765501,16016.00879,1.096290231,135184.5938,0.978784085,1251.786865,0.9787817,1251.761475,0.973500967,132497,0.887034655,1525.575562,4.111567497,1252.41748,0.924424291,2775.602783,0.861997009,131112.9375,4.064448714,2775.572021,0.755242825,1789.69397,0.725501538,500.1224365,0.725501538,500.1224976,0.636541844,126103.9844,3.774484396,503.4609985,3.774484396,503.4610596,0.636666179,0.001261039404,0.632891655,1006.895935,0.180644751,132231.5156,0.180701733,0.001322194468,3.729707956,997.4227295,3.4259565474,2804.663574,0.129659653,3710.171143,0.292979956,132998.125,0.285923243,2804.881104,0.230588436,1391.584961,3.481836796,1417.541992,0.432540178,135258.875,0.348048687,1417.348511,0.348050118,1417.374023,0.861997009,131112.9375,3.89683547858979,1789.69397,0.180644751,132231.5156,3.27125230658979,3710.171143
0.0333,0.652793884,11915.37891,0.483430147,14407.04199,0.54978776,11690.04102,0.391680717,17558.12695,0,11912.16895,-0.147303581,16312.81348,-0.139365435,11689.5127,-0.264765501,16016.00391,1.096290231,135184.5469,0.978784084,1251.786499,0.9787817,1251.761108,0.973500967,132496.9531,0.887034535,1525.575195,4.111567497,1252.417114,0.924424171,2775.602051,0.861997008,131112.9063,4.064448714,2775.571045,0.755242824,1789.693359,0.725501418,500.1222839,0.725501418,500.122345,0.636541843,126103.9453,3.774484277,503.4608459,3.774484277,503.460907,0.636684179,0.001260961872,0.632891536,1006.89563,0.180644512,132231.4844,0.180585861,0.001322458265,3.729707837,997.4224243,3.4259564874,2804.662842,0.129659414,3710.169922,0.292979955,132998.0938,0.285923242,2804.880127,0.230588436,1391.584595,3.4818367956,1417.541504,0.432540178,135258.8438,0.348048687,1417.348022,0.348050117,1417.373535,0.861997008,131112.9063,3.89683547758979,1789.693359,0.180644512,132231.4844,3.27125206758979,3710.169922
0.0666,0.652794003,11915.38867,0.483430386,14407.05371,0.549787998,11690.0498,0.391680956,17558.14063,0,11912.17773,-0.147303581,16312.82617,-0.139365196,11689.52148,-0.264765263,16016.0166,1.09629035,135184.6563,0.978784203,1251.787476,0.978781819,1251.762085,0.973501086,132497.0469,0.887034774,1525.576294,4.111567616,1252.418091,0.92442441,2775.604004,0.861997247,131113,4.064448833,2775.573242,0.755243063,1789.694824,0.725501656,500.1226807,0.725501656,500.1227417,0.636541963,126104.0469,3.774484515,503.4612427,3.774484515,503.4613037,0.636422992,0.001260946272,0.632891774,1006.896362,0.180644751,132231.5781,0.180727243,0.001322272583,3.729708075,997.4232178,3.4259566664,2804.665039,0.129659653,3710.172852,0.292980194,132998.1875,0.285923481,2804.882324,0.230588436,1391.585693,3.4818369745,1417.542603,0.432540417,135258.9375,0.348048687,1417.349121,0.348050356,1417.374634,0.861997247,131113,3.89683571658979,1789.694824,0.180644751,132231.5781,3.27125230658979,3710.172852
0.0999,0.652794003,11915.37695,0.483430385,14407.04004,0.549787998,11690.03906,0.391680955,17558.12305,0,11912.16699,-0.147303582,16312.81152,-0.139365197,11689.51074,-0.264765263,16016.00195,1.096290349,135184.5313,0.978784203,1251.786377,0.978781819,1251.760986,0.973501086,132496.9375,0.887034773,1525.574951,4.111567616,1252.41687,0.92442429,2775.601563,0.861997127,131112.875,4.064448833,2775.570557,0.755242943,1789.693115,0.725501537,500.1222229,0.725501537,500.1222839,0.636541962,126103.9297,3.774484515,503.4607544,3.774484515,503.4608459,0.636551141,0.001261223224,0.632891654,1006.895447,0.18064475,132231.4531,0.180775642,0.001322196214,3.729707956,997.4222412,3.4259566064,2804.662354,0.129659652,3710.169189,0.292979955,132998.0625,0.28592348,2804.879639,0.230588436,1391.584351,3.4818369145,1417.54126,0.432540416,135258.8281,0.348048686,1417.347778,0.348050355,1417.373291,0.861997127,131112.875,3.89683559658979,1789.693115,0.18064475,132231.4531,3.27125230558979,3710.169189
0.1332,0.652793884,11915.39258,0.483430386,14407.05762,0.54978776,11690.05371,0.391680956,17558.14453,0,11912.18164,-0.147303581,16312.83105,-0.139365435,11689.52539,-0.264765263,16016.02051,1.096290231,135184.7031,0.978784204,1251.787842,0.978781819,1251.762451,0.973501086,132497.0938,0.887034655,1525.576782,4.111567497,1252.418457,0.924424291,2775.604736,0.861997128,131113.0313,4.064448834,2775.573975,0.755242944,1789.695313,0.725501537,500.1228027,0.725501537,500.1228943,0.636541963,126104.0781,3.774484396,503.4613647,3.774484396,503.4614258,0.636591196,0.00126092555,0.632891655,1006.896667,0.180644751,132231.6094,0.180616379,0.001322276425,3.729707956,997.4234619,3.4259565473,2804.665771,0.129659653,3710.173828,0.292979956,132998.2344,0.285923481,2804.883057,0.230588436,1391.58606,3.4818368555,1417.542969,0.432540178,135258.9844,0.348048687,1417.349487,0.348050118,1417.375,0.861997128,131113.0313,3.89683559758979,1789.695313,0.180644751,132231.6094,3.27125230658979,3710.173828
0.1665,0.652793884,11915.37793,0.483430385,14407.04004,0.549787759,11690.04004,0.391680717,17558.12305,0,11912.16699,-0.147303582,16312.81152,-0.139365435,11689.51074,-0.264765501,16016.00195,1.09629023,135184.5469,0.978784084,1251.786377,0.9787817,1251.760986,0.973500967,132496.9375,0.887034654,1525.574951,4.111567497,1252.41687,0.92442429,2775.601563,0.861997127,131112.875,4.064448714,2775.570801,0.755242824,1789.693115,0.725501418,500.1222229,0.725501418,500.1222839,0.636541843,126103.9219,3.774484396,503.4607849,3.774484396,503.4608459,0.636506915,0.001261104364,0.632891655,1006.895447,0.18064475,132231.4531,0.180733442,0.001322202501,3.729707956,997.4223022,3.4259565469,2804.662354,0.129659414,3710.169189,0.292979955,132998.0781,0.285923242,2804.879639,0.230588436,1391.584351,3.4818367955,1417.54126,0.432540178,135258.8125,0.348048687,1417.347778,0.348050117,1417.373291,0.861997127,131112.875,3.89683547758979,1789.693115,0.18064475,132231.4531,3.27125206758979,3710.169189
0.1998,0.652794003,11915.38867,0.483430385,14407.05371,0.549787998,11690.0498,0.391680956,17558.14063,0,11912.17871,-0.147303581,16312.82617,-0.139365196,11689.52148,-0.264765263,16016.0166,1.096290469,135184.6563,0.978784323,1251.787476,0.978781938,1251.762085,0.973501205,132497.0625,0.887034774,1525.576294,4.111567736,1252.418091,0.92442441,2775.604004,0.861997247,131113,4.064448953,2775.573242,0.755243063,1789.694824,0.725501656,500.1226807,0.725501656,500.1227722,0.636542082,126104.0469,3.774484515,503.4612427,3.774484515,503.4613037,0.636602282,0.001261091209,0.632891774,1006.896423,0.18064475,132231.5781,0.180662155,0.001322203083,3.729708075,997.4232178,3.4259567259,2804.664795,0.129659653,3710.172852,0.292980194,132998.1875,0.285923481,2804.882324,0.230588674,1391.585693,3.4818369745,1417.542603,0.432540417,135258.9375,0.348048925,1417.349121,0.348050356,1417.374634,0.861997247,131113,3.89683571658979,1789.694824,0.18064475,132231.5781,3.27125230658979,3710.172852
0.2331,0.652794004,11915.38086,0.483430386,14407.04199,0.549787999,11690.04102,0.391680956,17558.12695,0,11912.16895,-0.147303581,16312.81348,-0.139365196,11689.5127,-0.264765262,16016.00488,1.09629035,135184.5469,0.978784204,1251.786499,0.97878182,1251.761108,0.973501206,132496.9531,0.887034774,1525.575195,4.111567617,1252.417114,0.92442441,2775.602051,0.861997247,131112.9063,4.064448834,2775.571045,0.755243063,1789.693359,0.725501657,500.1223145,0.725501657,500.1223755,0.636542082,126103.9453,3.774484516,503.4608459,3.774484516,503.4609375,0.636687756,0.001261133468,0.632891775,1006.89563,0.180644751,132231.4844,0.180661202,0.001322364435,3.729708076,997.4224243,3.4259566669,2804.662842,0.129659653,3710.169922,0.292979956,132998.0938,0.285923481,2804.880127,0.230588437,1391.584595,3.4818369154,1417.541504,0.432540179,135258.8438,0.348048687,1417.348022,0.348050356,1417.373535,0.861997247,131112.9063,3.89683571658979,1789.693359,0.180644751,132231.4844,3.27125230658979,3710.169922
0.2664,0.652793884,11915.38379,0.483430386,14407.04688,0.549787998,11690.04492,0.391680956,17558.13086,0,11912.17285,-0.147303581,16312.81836,-0.139365196,11689.51563,-0.264765263,16016.00977,1.09629035,135184.6094,0.978784204,1251.786865,0.978781819,1251.761475,0.973501086,132497,0.887034774,1525.575562,4.111567616,1252.41748,0.924424291,2775.602783,0.861997128,131112.9375,4.064448833,2775.572021,0.755242944,1789.69397,0.725501537,500.122467,0.725501537,500.1225281,0.636541963,126103.9844,3.774484515,503.4610291,3.774484396,503.4610901,0.63660872,0.001260998426,0.632891655,1006.895935,0.180644751,132231.5156,0.180739403,0.001322134864,3.729707956,997.4227905,3.4259566069,2804.663574,0.129659653,3710.170898,0.292979956,132998.125,0.285923481,2804.880859,0.230588436,1391.585083,3.4818368554,1417.54187,0.432540178,135258.875,0.348048687,1417.348389,0.348050117,1417.373901,0.861997128,131112.9375,3.89683559758979,1789.69397,0.180644751,132231.5156,3.27125230658979,3710.170898
0.2997,0.652793884,11915.38281,0.483430385,14407.04688,0.549787759,11690.04492,0.391680717,17558.13086,0,11912.17383,-0.147303582,16312.81836,-0.139365435,11689.5166,-0.264765501,16016.00977,1.09629023,135184.5938,0.978784084,1251.786865,0.9787817,1251.761597,0.973501086,132497,0.887034654,1525.575562,4.111567497,1252.41748,0.92442429,2775.602783,0.861997127,131112.9375,4.064448714,2775.572021,0.755242943,1789.69397,0.725501537,500.122467,0.725501537,500.1225281,0.636541962,126103.9844,3.774484396,503.4610291,3.774484396,503.4610901,0.636646151,0.001260813093,0.632891655,1006.895996,0.18064475,132231.5156,0.180614471,0.001322433935,3.729707956,997.4227905,3.4259565468,2804.663574,0.129659652,3710.170898,0.292979955,132998.125,0.285923242,2804.880859,0.230588436,1391.585083,3.4818367954,1417.54187,0.432540178,135258.875,0.348048687,1417.348389,0.348050117,1417.373901,0.861997127,131112.9375,3.89683559658979,1789.69397,0.18064475,132231.5156,3.27125230558979,3710.170898
0.333,0.652793884,11915.37891,0.483430386,14407.04297,0.54978776,11690.04199,0.391680718,17558.12695,0,11912.16992,-0.14730382,16312.81348,-0.139365434,11689.5127,-0.264765501,16016.00488,1.096290231,135184.5625,0.978784084,1251.786499,0.9787817,1251.761108,0.973501086,132496.9531,0.887034655,1525.575195,4.111567497,1252.417114,0.924424291,2775.602051,0.861997128,131112.9063,4.064448714,2775.571045,0.755242825,1789.693481,0.725501537,500.1223145,0.725501537,500.1223755,0.636541844,126103.9453,3.774484396,503.4608765,3.774484396,503.4609375,0.636609435,0.001261011581,0.632891655,1006.895691,0.180644512,132231.4844,0.18053937,0.001322160591,3.729707837,997.4224854,3.4259564878,2804.662842,0.129659414,3710.169922,0.292979956,132998.0938,0.285923243,2804.880127,0.230588436,1391.584595,3.4818367364,1417.541382,0.432540178,135258.8438,0.348048687,1417.348022,0.348050118,1417.373413,0.861997128,131112.9063,3.89683547858979,1789.693481,0.180644512,132231.4844,3.27125206758979,3710.169922
0.3663,0.652794123,11915.38965,0.483430386,14407.05371,0.549787999,11690.05078,0.391680956,17558.14063,0,11912.17871,-0.147303581,16312.8252,-0.139365196,11689.52148,-0.264765262,16016.0166,1.09629035,135184.6719,0.978784323,1251.787476,0.978781939,1251.762085,0.973501206,132497.0469,0.887034774,1525.576294,4.111567617,1252.418091,0.92442441,2775.604004,0.861997247,131113,4.064448953,2775.573242,0.755243063,1789.694824,0.725501657,500.1227112,0.725501657,500.1227722,0.636542082,126104.0391,3.774484516,503.4612732,3.774484516,503.4613342,0.636640072,0.001260858728,0.632891774,1006.896484,0.180644751,132231.5781,0.180509329,0.00132229866,3.729708076,997.4232788,3.4259566668,2804.664795,0.129659653,3710.172607,0.292980194,132998.1875,0.285923481,2804.882324,0.230588436,1391.585693,3.4818369153,1417.54248,0.432540417,135258.9375,0.348048687,1417.349121,0.348050356,1417.374512,0.861997247,131113,3.89683571658979,1789.694824,0.180644751,132231.5781,3.27125230658979,3710.172607
