Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.634251952,11909.70215,0.431386351,15898.61816,0.527381778,11679.13281,0.312030196,20678.76953,0,11904.52051,-0.185689449,19256.53125,-0.173101187,11678.24023,-0.388059855,17733.82617,1.069674611,134585.4531,0.926736951,1381.38501,0.926734328,1381.359863,0.933639645,131284.9219,0.807380795,1796.718384,-2.2227720024,1382.2146,0.855827212,3174.058594,0.804910064,129364.7109,-2.2871206405,3174.11499,0.716897607,2198.539551,0.664478183,494.9697876,0.664478183,494.9698486,0.578728795,124308.1094,-2.56936872,498.4210205,-2.56936872,498.4210815,0.578856587,0.001243281062,0.572223782,996.8163452,0.120558858,130281.3984,0.120478034,0.001302723773,-2.613948465,987.5549316,-2.933692217,3198.746338,0.073715448,4097.897949,0.250151157,131583.0938,0.209251165,3198.851807,0.107290625,1540.840942,-2.838482261,1673.403564,0.416191459,134435.6406,0.309659481,1673.119019,0.30966115,1673.144287,0.804910064,129364.7109,3.85849026058979,2198.539551,0.120558858,130281.3984,3.21530810158979,4097.897949
0.0333,0.634250164,11909.7002,0.431384921,15898.60352,0.527379989,11679.12793,0.312029123,20678.75586,0,11904.51563,-0.185689211,19256.5293,-0.173101187,11678.23535,-0.388059378,17733.82813,1.069672823,134585.4063,0.926735401,1381.383667,0.926732778,1381.358521,0.933638096,131284.8906,0.807379722,1796.717285,-2.2227733733,1382.213257,0.855826139,3174.056152,0.804908514,129364.6875,-2.2871218326,3174.112549,0.716896057,2198.53833,0.664477348,494.968689,0.664477348,494.96875,0.578727722,124308.1016,-2.569369793,498.4198608,-2.569369793,498.4199524,0.578718424,0.001243151026,0.572222709,996.8140259,0.120558738,130281.3594,0.120606541,0.001302720048,-2.613949537,987.5526733,-2.933691859,3198.746582,0.0737153290000001,4097.895996,0.250151157,131583.0469,0.209251523,3198.851807,0.107291102,1540.841064,-2.838482023,1673.403564,0.416191458,134435.5938,0.309659719,1673.119019,0.309661388,1673.144165,0.804908514,129364.6875,3.85848871058979,2198.53833,0.120558738,130281.3594,3.21530798258979,4097.895996
0.0666,0.634248495,11909.70898,0.431383609,15898.60742,0.527378559,11679.13672,0.31202805,20678.76172,0,11904.52246,-0.185689331,19256.55273,-0.173101306,11678.24219,-0.38805914,17733.84961,1.069671392,134585.5,0.926734209,1381.384033,0.926731586,1381.358887,0.933636665,131284.9844,0.80737853,1796.717896,-2.2227747445,1382.213623,0.855824947,3174.057129,0.804907083,129364.7891,-2.2871229653,3174.11377,0.716894626,2198.539795,0.664476394,494.9682617,0.664476394,494.9683228,0.578726768,124308.2188,-2.569370866,498.4194336,-2.569370866,498.4194946,0.578837394,0.001243043225,0.572221756,996.8131714,0.1205585,130281.4375,0.120571374,0.001302591292,-2.61395073,987.5518188,-2.933691741,3198.750488,0.073714971,4097.899414,0.250150918,131583.125,0.209251642,3198.855713,0.10729134,1540.842896,-2.838482023,1673.405518,0.416191458,134435.6563,0.3096596,1673.120972,0.309661269,1673.14624,0.804907083,129364.7891,3.85848727958979,2198.539795,0.1205585,130281.4375,3.21530762458979,4097.899414
0.0999,0.634247184,11909.69629,0.431382418,15898.58691,0.527377248,11679.125,0.312027216,20678.73438,0,11904.50977,-0.185689449,19256.54492,-0.173101425,11678.22852,-0.38805902,17733.8418,1.069670081,134585.375,0.926732898,1381.382202,0.926730275,1381.357056,0.933635354,131284.8594,0.807377696,1796.715454,-2.2227759957,1382.211792,0.855823875,3174.052979,0.804905772,129364.6719,-2.2871240377,3174.109619,0.716893315,2198.537842,0.66447556,494.9671021,0.66447556,494.9671936,0.578725696,124308.125,-2.569371819,498.4183044,-2.569371819,498.4183655,0.578763127,0.001243229839,0.572220683,996.8109131,0.120558143,130281.2969,0.120694161,0.001302817487,-2.613951683,987.5495605,-2.933691859,3198.749023,0.0737147330000001,4097.896484,0.250150681,131582.9844,0.209251523,3198.854492,0.10729146,1540.842285,-2.838482261,1673.404785,0.41619134,134435.5156,0.309659481,1673.120239,0.309661031,1673.145508,0.804905772,129364.6719,3.85848596858979,2198.537842,0.120558143,130281.2969,3.21530738658979,4097.896484
0.1332,0.63424635,11909.70898,0.431381464,15898.60156,0.527376175,11679.1377,0.31202662,20678.75195,0,11904.52344,-0.185689449,19256.57617,-0.173101425,11678.24121,-0.388058901,17733.87109,1.069669008,134585.5156,0.926732063,1381.383545,0.926729441,1381.358398,0.933634281,131285.0156,0.8073771,1796.716919,-2.2227768896,1382.213135,0.855823279,3174.055908,0.804904938,129364.8281,-2.2871247528,3174.112305,0.716892481,2198.540283,0.664474964,494.9671326,0.664474964,494.9671936,0.5787251,124308.2813,-2.569372415,498.418335,-2.569372415,498.418396,0.578684569,0.00124312751,0.572220087,996.8109741,0.120558024,130281.4453,0.120550513,0.00130268035,-2.613952398,987.5496216,-2.93369174,3198.754395,0.0737144950000002,4097.901855,0.250150562,131583.125,0.209251642,3198.859863,0.107291699,1540.844849,-2.838482261,1673.407471,0.41619134,134435.6719,0.309659481,1673.122925,0.309661031,1673.148193,0.804904938,129364.8281,3.85848513458979,2198.540283,0.120558024,130281.4453,3.21530714858979,4097.901855
0.1665,0.634245396,11909.69629,0.431380749,15898.58301,0.52737546,11679.12305,0.312026262,20678.7168,0,11904.50879,-0.185689449,19256.55664,-0.173101425,11678.22656,-0.388058662,17733.85547,1.069668293,134585.375,0.926731348,1381.381958,0.926728726,1381.356689,0.933633566,131284.8594,0.807376862,1796.713989,-2.2227776646,1382.211426,0.855822563,3174.05127,0.804904223,129364.6719,-2.2871252893,3174.107666,0.716891766,2198.537842,0.664474726,494.9661255,0.664474726,494.966217,0.578724623,124308.1406,-2.569372773,498.4172974,-2.569372773,498.4173584,0.578933001,0.001243086415,0.57221961,996.8088989,0.120557904,130281.2813,0.120782852,0.001302945078,-2.613952875,987.5476074,-2.933691621,3198.751465,0.0737144949999999,4097.897461,0.250150561,131582.9688,0.209251762,3198.856934,0.107291818,1540.843506,-2.838482261,1673.405884,0.41619134,134435.5,0.309659481,1673.121338,0.309661031,1673.146606,0.804904223,129364.6719,3.85848441958979,2198.537842,0.120557904,130281.2813,3.21530714858979,4097.897461
0.1998,0.634245038,11909.70898,0.431380033,15898.59961,0.527375102,11679.13281,0.312026143,20678.72852,0,11904.51855,-0.185689449,19256.57617,-0.173101545,11678.23633,-0.388058663,17733.87891,1.069667935,134585.5,0.926730513,1381.383301,0.926727891,1381.358154,0.933633208,131284.9844,0.807376742,1796.714966,-2.2227783205,1382.212891,0.855822205,3174.053711,0.804903626,129364.7969,-2.2871256473,3174.110107,0.716891169,2198.539795,0.664474368,494.9663391,0.664474368,494.9664001,0.578724265,124308.2578,-2.569373131,498.4174805,-2.569373131,498.4175415,0.578755259,0.001243167208,0.572219252,996.8092651,0.120557785,130281.3906,0.120689392,0.001302720862,-2.613953233,987.5479736,-2.933691621,3198.755127,0.073714375,4097.900879,0.250150442,131583.0781,0.209251761,3198.860352,0.107291937,1540.845459,-2.838482261,1673.407593,0.41619122,134435.6094,0.309659481,1673.123047,0.309661031,1673.148315,0.804903626,129364.7969,3.85848382258979,2198.539795,0.120557785,130281.3906,3.21530702858979,4097.900879
0.2331,0.634244919,11909.69727,0.431379676,15898.58887,0.527374745,11679.12305,0.312026024,20678.70703,0,11904.50684,-0.185689688,19256.56445,-0.173101544,11678.22559,-0.388058662,17733.86914,1.069667816,134585.375,0.926730156,1381.382446,0.926727533,1381.357178,0.933632851,131284.8594,0.807376623,1796.713013,-2.2227787374,1382.211914,0.855822086,3174.051025,0.804903507,129364.6875,-2.2871258258,3174.107422,0.71689105,2198.538086,0.664474249,494.9658508,0.664474249,494.9659119,0.578724146,124308.1563,-2.569373488,498.4169922,-2.569373488,498.4170532,0.578724861,0.001243214123,0.572219133,996.8082886,0.120557666,130281.2734,0.120567441,0.001302737044,-2.613953471,987.5469971,-2.93369174,3198.753174,0.0737142560000001,4097.898438,0.250150442,131582.9531,0.209251642,3198.858398,0.107291818,1540.844604,-2.83848238,1673.406494,0.41619122,134435.4844,0.309659243,1673.121948,0.309660912,1673.147217,0.804903507,129364.6875,3.85848370358979,2198.538086,0.120557666,130281.2734,3.21530690958979,4097.898438
0.2664,0.634244919,11909.70215,0.431379438,15898.59375,0.527374983,11679.12598,0.312026143,20678.70898,0,11904.50977,-0.185689926,19256.57422,-0.173101544,11678.22656,-0.388058901,17733.87891,1.069667816,134585.4219,0.926729918,1381.382935,0.926727295,1381.357666,0.933633089,131284.8906,0.807376623,1796.713257,-2.2227789162,1382.212524,0.855822087,3174.051758,0.804903507,129364.7109,-2.2871258257,3174.108154,0.716891051,2198.539063,0.664474011,494.9660339,0.664474011,494.966095,0.578724146,124308.1719,-2.569373607,498.4172058,-2.569373607,498.4172668,0.578646898,0.001242975122,0.572218895,996.8087158,0.120557547,130281.2813,0.120605231,0.001302830642,-2.61395359,987.5474243,-2.933691978,3198.754883,0.0737141369999998,4097.900391,0.250150323,131582.9688,0.209251404,3198.860107,0.107291699,1540.845459,-2.838482737,1673.407227,0.41619122,134435.5,0.309659004,1673.122681,0.309660554,1673.147949,0.804903507,129364.7109,3.85848370458979,2198.539063,0.120557547,130281.2813,3.21530679058979,4097.900391
0.2997,0.634245276,11909.70117,0.431379437,15898.59473,0.527375102,11679.12402,0.312026382,20678.70703,0,11904.50977,-0.185690284,19256.57617,-0.173101544,11678.22559,-0.388059139,17733.88281,1.069668174,134585.4063,0.926730037,1381.382935,0.926727414,1381.357788,0.933633447,131284.875,0.807376981,1796.713135,-2.2227789163,1382.212524,0.855822206,3174.051758,0.804903865,129364.6875,-2.2871257066,3174.108154,0.716891408,2198.539307,0.664473891,494.966217,0.664473891,494.9662781,0.578724504,124308.1406,-2.569373488,498.4173889,-2.569373488,498.41745,0.57868135,0.00124315382,0.572219014,996.809082,0.120557427,130281.2578,0.120641232,0.001302833203,-2.61395359,987.5477295,-2.933692336,3198.755371,0.073714018,4097.901367,0.250150323,131582.9531,0.209251165,3198.86084,0.10729146,1540.845703,-2.838482976,1673.407471,0.41619122,134435.4844,0.309658647,1673.122925,0.309660316,1673.148193,0.804903865,129364.6875,3.85848406158979,2198.539307,0.120557427,130281.2578,3.21530667158979,4097.901367
0.333,0.634245753,11909.69629,0.431379676,15898.59082,0.527375817,11679.11914,0.312026858,20678.70313,0,11904.50488,-0.185690522,19256.57031,-0.173101664,11678.22168,-0.388059378,17733.87891,1.06966865,134585.3438,0.926730275,1381.38269,0.926727652,1381.357422,0.933633923,131284.8125,0.807377457,1796.712646,-2.2227786782,1382.21228,0.855822682,3174.050781,0.804904341,129364.6328,-2.2871253494,3174.107178,0.716891884,2198.538818,0.664474129,494.9663696,0.664474129,494.9664307,0.578724742,124308.0781,-2.56937325,498.4175415,-2.56937325,498.4176025,0.578673958,0.001243214705,0.572219252,996.8093872,0.120557427,130281.2031,0.120642304,0.001302731689,-2.613953233,987.5480957,-2.933692575,3198.754395,0.073714018,4097.900879,0.250150203,131582.8906,0.209250807,3198.859863,0.107291221,1540.845459,-2.838483215,1673.406982,0.416191101,134435.4375,0.309658408,1673.122437,0.309660077,1673.147705,0.804904341,129364.6328,3.85848453758979,2198.538818,0.120557427,130281.2031,3.21530667158979,4097.900879
0.3663,0.634246707,11909.70508,0.431380153,15898.60449,0.527376532,11679.12695,0.312027574,20678.7207,0,11904.51367,-0.185690641,19256.58008,-0.173101544,11678.22949,-0.388059735,17733.89258,1.069669604,134585.4531,0.926730752,1381.383789,0.926728129,1381.358643,0.933634877,131284.9063,0.807378173,1796.714355,-2.2227782012,1382.213379,0.855823159,3174.053711,0.804905295,129364.7109,-2.2871247531,3174.110107,0.716892838,2198.541016,0.664474606,494.9671936,0.664474606,494.9672546,0.578725219,124308.1328,-2.569372773,498.418396,-2.569372773,498.418457,0.5789119,0.001242995844,0.572219729,996.8110962,0.120557547,130281.2813,0.120725155,0.001302637742,-2.613952637,987.5498047,-2.933692813,3198.756836,0.073714018,4097.904297,0.250150323,131582.9844,0.209250569,3198.862061,0.107290864,1540.84668,-2.838483453,1673.407959,0.41619122,134435.5313,0.309658289,1673.123413,0.309659839,1673.148682,0.804905295,129364.7109,3.85848549158979,2198.541016,0.120557547,130281.2813,3.21530667158979,4097.904297
